"Año","Comunidad autónoma","Número de ayudas concedidas Art 27"
"Año 2006","Aragón","1.0"
"Año 2006","Principado de Asturias","3.0"
"Año 2006","Cantabria","3.0"
"Año 2006","Castilla y León","9.0"
"Año 2006","Castilla-La Mancha","6.0"
"Año 2006","Comunitat Valenciana","13.0"
"Año 2006","Galicia","19.0"
"Año 2006","Comunidad Foral de Navarra","1.0"
"Año 2006","La Rioja","6.0"
"Año 2007","Andalucía","31.0"
"Año 2007","Aragón","9.0"
"Año 2007","Principado de Asturias","6.0"
"Año 2007","Canarias","5.0"
"Año 2007","Cantabria","15.0"
"Año 2007","Castilla y León","8.0"
"Año 2007","Castilla-La Mancha","9.0"
"Año 2007","Comunitat Valenciana","34.0"
"Año 2007","Galicia","51.0"
"Año 2007","Comunidad de Madrid","8.0"
"Año 2007","Comunidad Foral de Navarra","10.0"
"Año 2007","La Rioja","13.0"
"Año 2008","Andalucía","60.0"
"Año 2008","Aragón","10.0"
"Año 2008","Principado de Asturias","9.0"
"Año 2008","Canarias","19.0"
"Año 2008","Cantabria","3.0"
"Año 2008","Castilla y León","12.0"
"Año 2008","Castilla-La Mancha","10.0"
"Año 2008","Cataluña","5.0"
"Año 2008","Comunitat Valenciana","69.0"
"Año 2008","Extremadura","8.0"
"Año 2008","Galicia","28.0"
"Año 2008","Comunidad de Madrid","10.0"
"Año 2008","Comunidad Foral de Navarra","2.0"
"Año 2008","País Vasco","24.0"
"Año 2008","La Rioja","15.0"
"Año 2009","Andalucía","80.0"
"Año 2009","Aragón","19.0"
"Año 2009","Principado de Asturias","7.0"
"Año 2009","Canarias","25.0"
"Año 2009","Cantabria","5.0"
"Año 2009","Castilla y León","6.0"
"Año 2009","Castilla-La Mancha","17.0"
"Año 2009","Cataluña","49.0"
"Año 2009","Comunitat Valenciana","44.0"
"Año 2009","Extremadura","30.0"
"Año 2009","Galicia","12.0"
"Año 2009","Comunidad de Madrid","13.0"
"Año 2009","Comunidad Foral de Navarra","3.0"
"Año 2009","País Vasco","40.0"
"Año 2009","La Rioja","10.0"
"Año 2010","Andalucía","52.0"
"Año 2010","Aragón","13.0"
"Año 2010","Principado de Asturias","8.0"
"Año 2010","Illes Balears","1.0"
"Año 2010","Canarias","9.0"
"Año 2010","Cantabria","2.0"
"Año 2010","Castilla y León","8.0"
"Año 2010","Castilla-La Mancha","8.0"
"Año 2010","Cataluña","42.0"
"Año 2010","Comunitat Valenciana","41.0"
"Año 2010","Extremadura","29.0"
"Año 2010","Galicia","27.0"
"Año 2010","Comunidad de Madrid","10.0"
"Año 2010","Comunidad Foral de Navarra","10.0"
"Año 2010","País Vasco","84.0"
"Año 2010","La Rioja","6.0"
"Año 2011","Andalucía","37.0"
"Año 2011","Aragón","22.0"
"Año 2011","Principado de Asturias","5.0"
"Año 2011","Canarias","14.0"
"Año 2011","Cantabria","2.0"
"Año 2011","Castilla y León","5.0"
"Año 2011","Castilla-La Mancha","6.0"
"Año 2011","Cataluña","14.0"
"Año 2011","Comunitat Valenciana","99.0"
"Año 2011","Extremadura","48.0"
"Año 2011","Galicia","48.0"
"Año 2011","Comunidad de Madrid","8.0"
"Año 2011","Comunidad Foral de Navarra","13.0"
"Año 2011","País Vasco","109.0"
"Año 2012","Andalucía","48.0"
"Año 2012","Aragón","17.0"
"Año 2012","Principado de Asturias","9.0"
"Año 2012","Illes Balears","18.0"
"Año 2012","Canarias","11.0"
"Año 2012","Cantabria","2.0"
"Año 2012","Castilla y León","6.0"
"Año 2012","Castilla-La Mancha","4.0"
"Año 2012","Cataluña","17.0"
"Año 2012","Comunitat Valenciana","42.0"
"Año 2012","Extremadura","42.0"
"Año 2012","Galicia","51.0"
"Año 2012","Comunidad de Madrid","2.0"
"Año 2012","Comunidad Foral de Navarra","9.0"
"Año 2012","País Vasco","182.0"
"Año 2012","La Rioja","3.0"
"Año 2013","Andalucía","60.0"
"Año 2013","Aragón","29.0"
"Año 2013","Principado de Asturias","6.0"
"Año 2013","Illes Balears","17.0"
"Año 2013","Canarias","49.0"
"Año 2013","Cantabria","1.0"
"Año 2013","Castilla y León","9.0"
"Año 2013","Castilla-La Mancha","5.0"
"Año 2013","Cataluña","5.0"
"Año 2013","Comunitat Valenciana","57.0"
"Año 2013","Extremadura","41.0"
"Año 2013","Galicia","61.0"
"Año 2013","Comunidad de Madrid","2.0"
"Año 2013","Región de Murcia","6.0"
"Año 2013","Comunidad Foral de Navarra","9.0"
"Año 2013","País Vasco","122.0"
"Año 2013","La Rioja","4.0"
"Año 2014","Andalucía","68.0"
"Año 2014","Aragón","21.0"
"Año 2014","Principado de Asturias","5.0"
"Año 2014","Illes Balears","30.0"
"Año 2014","Canarias","65.0"
"Año 2014","Castilla y León","27.0"
"Año 2014","Castilla-La Mancha","3.0"
"Año 2014","Cataluña","3.0"
"Año 2014","Comunitat Valenciana","82.0"
"Año 2014","Extremadura","60.0"
"Año 2014","Galicia","65.0"
"Año 2014","Comunidad de Madrid","6.0"
"Año 2014","Región de Murcia","14.0"
"Año 2014","Comunidad Foral de Navarra","16.0"
"Año 2014","País Vasco","139.0"
"Año 2014","La Rioja","2.0"
"Año 2015","Andalucía","54.0"
"Año 2015","Aragón","21.0"
"Año 2015","Principado de Asturias","4.0"
"Año 2015","Illes Balears","18.0"
"Año 2015","Canarias","74.0"
"Año 2015","Cantabria","4.0"
"Año 2015","Castilla y León","51.0"
"Año 2015","Castilla-La Mancha","10.0"
"Año 2015","Cataluña","3.0"
"Año 2015","Comunitat Valenciana","82.0"
"Año 2015","Extremadura","69.0"
"Año 2015","Galicia","89.0"
"Año 2015","Comunidad de Madrid","23.0"
"Año 2015","Región de Murcia","18.0"
"Año 2015","Comunidad Foral de Navarra","8.0"
"Año 2015","País Vasco","150.0"
"Año 2015","La Rioja","1.0"
"Año 2016","Andalucía","50.0"
"Año 2016","Aragón","41.0"
"Año 2016","Principado de Asturias","5.0"
"Año 2016","Illes Balears","3.0"
"Año 2016","Canarias","62.0"
"Año 2016","Castilla y León","80.0"
"Año 2016","Castilla-La Mancha","5.0"
"Año 2016","Cataluña","4.0"
"Año 2016","Comunitat Valenciana","127.0"
"Año 2016","Extremadura","62.0"
"Año 2016","Galicia","96.0"
"Año 2016","Comunidad de Madrid","21.0"
"Año 2016","Región de Murcia","22.0"
"Año 2016","Comunidad Foral de Navarra","2.0"
"Año 2016","País Vasco","143.0"
"Año 2016","La Rioja","1.0"
"Año 2017","Andalucía","71.0"
"Año 2017","Aragón","39.0"
"Año 2017","Principado de Asturias","8.0"
"Año 2017","Illes Balears","1.0"
"Año 2017","Canarias","91.0"
"Año 2017","Castilla y León","75.0"
"Año 2017","Castilla-La Mancha","3.0"
"Año 2017","Cataluña","4.0"
"Año 2017","Comunitat Valenciana","126.0"
"Año 2017","Extremadura","67.0"
"Año 2017","Galicia","66.0"
"Año 2017","Comunidad de Madrid","19.0"
"Año 2017","Región de Murcia","26.0"
"Año 2017","Comunidad Foral de Navarra","4.0"
"Año 2017","País Vasco","164.0"
"Año 2017","La Rioja","1.0"
"Año 2018","Andalucía","62.0"
"Año 2018","Aragón","24.0"
"Año 2018","Principado de Asturias","5.0"
"Año 2018","Canarias","75.0"
"Año 2018","Castilla y León","92.0"
"Año 2018","Castilla-La Mancha","6.0"
"Año 2018","Cataluña","2.0"
"Año 2018","Comunitat Valenciana","166.0"
"Año 2018","Extremadura","63.0"
"Año 2018","Galicia","90.0"
"Año 2018","Comunidad de Madrid","22.0"
"Año 2018","Región de Murcia","28.0"
"Año 2018","Comunidad Foral de Navarra","8.0"
"Año 2018","País Vasco","170.0"
"Año 2018","La Rioja","4.0"
"Año 2019","Andalucía","85.0"
"Año 2019","Aragón","26.0"
"Año 2019","Principado de Asturias","9.0"
"Año 2019","Illes Balears","13.0"
"Año 2019","Canarias","99.0"
"Año 2019","Castilla y León","109.0"
"Año 2019","Castilla-La Mancha","12.0"
"Año 2019","Comunitat Valenciana","204.0"
"Año 2019","Extremadura","104.0"
"Año 2019","Galicia","189.0"
"Año 2019","Comunidad de Madrid","16.0"
"Año 2019","Región de Murcia","31.0"
"Año 2019","Comunidad Foral de Navarra","6.0"
"Año 2019","País Vasco","250.0"
"Año 2019","La Rioja","3.0"
"Año 2020","Andalucía","111.0"
"Año 2020","Aragón","24.0"
"Año 2020","Principado de Asturias","11.0"
"Año 2020","Illes Balears","12.0"
"Año 2020","Canarias","108.0"
"Año 2020","Cantabria","1.0"
"Año 2020","Castilla y León","68.0"
"Año 2020","Castilla-La Mancha","8.0"
"Año 2020","Comunitat Valenciana","125.0"
"Año 2020","Extremadura","91.0"
"Año 2020","Galicia","340.0"
"Año 2020","Comunidad de Madrid","14.0"
"Año 2020","Región de Murcia","26.0"
"Año 2020","Comunidad Foral de Navarra","9.0"
"Año 2020","País Vasco","236.0"
"Año 2020","La Rioja","1.0"
"Año 2021","Andalucía","181.0"
"Año 2021","Aragón","8.0"
"Año 2021","Principado de Asturias","13.0"
"Año 2021","Illes Balears","20.0"
"Año 2021","Canarias","137.0"
"Año 2021","Cantabria","2.0"
"Año 2021","Castilla y León","72.0"
"Año 2021","Castilla-La Mancha","18.0"
"Año 2021","Comunitat Valenciana","98.0"
"Año 2021","Extremadura","62.0"
"Año 2021","Galicia","324.0"
"Año 2021","Comunidad de Madrid","23.0"
"Año 2021","Región de Murcia","34.0"
"Año 2021","Comunidad Foral de Navarra","10.0"
"Año 2021","País Vasco","290.0"
"Año 2021","La Rioja","2.0"
"Año 2022","Andalucía","296.0"
"Año 2022","Aragón","8.0"
"Año 2022","Principado de Asturias","8.0"
"Año 2022","Illes Balears","13.0"
"Año 2022","Canarias","176.0"
"Año 2022","Cantabria","2.0"
