"Año","Trimestre","Comunidad autónoma","Provincia","Número de denuncias por violencia de género"
"Año 2009","Primero","Andalucía","Almería","679.0"
"Año 2009","Primero","Andalucía","Cádiz","811.0"
"Año 2009","Primero","Andalucía","Córdoba","354.0"
"Año 2009","Primero","Andalucía","Granada","1029.0"
"Año 2009","Primero","Andalucía","Huelva","583.0"
"Año 2009","Primero","Andalucía","Jaén","440.0"
"Año 2009","Primero","Andalucía","Málaga","1665.0"
"Año 2009","Primero","Andalucía","Sevilla","1091.0"
"Año 2009","Primero","Aragón","Huesca","91.0"
"Año 2009","Primero","Aragón","Teruel","39.0"
"Año 2009","Primero","Aragón","Zaragoza","565.0"
"Año 2009","Primero","Principado de Asturias","Asturias","529.0"
"Año 2009","Primero","Illes Balears","Illes Balears","1142.0"
"Año 2009","Primero","Canarias","Las Palmas","1222.0"
"Año 2009","Primero","Canarias","Santa Cruz de Tenerife","873.0"
"Año 2009","Primero","Cantabria","Cantabria","280.0"
"Año 2009","Primero","Castilla y León","Ávila","118.0"
"Año 2009","Primero","Castilla y León","Burgos","234.0"
"Año 2009","Primero","Castilla y León","León","239.0"
"Año 2009","Primero","Castilla y León","Palencia","80.0"
"Año 2009","Primero","Castilla y León","Salamanca","156.0"
"Año 2009","Primero","Castilla y León","Segovia","64.0"
"Año 2009","Primero","Castilla y León","Soria","43.0"
"Año 2009","Primero","Castilla y León","Valladolid","453.0"
"Año 2009","Primero","Castilla y León","Zamora","70.0"
"Año 2009","Primero","Castilla-La Mancha","Albacete","246.0"
"Año 2009","Primero","Castilla-La Mancha","Ciudad Real","265.0"
"Año 2009","Primero","Castilla-La Mancha","Cuenca","98.0"
"Año 2009","Primero","Castilla-La Mancha","Guadalajara","319.0"
"Año 2009","Primero","Castilla-La Mancha","Toledo","350.0"
"Año 2009","Primero","Cataluña","Barcelona","2994.0"
"Año 2009","Primero","Cataluña","Girona","522.0"
"Año 2009","Primero","Cataluña","Lleida","229.0"
"Año 2009","Primero","Cataluña","Tarragona","643.0"
"Año 2009","Primero","Comunitat Valenciana","Alicante/Alacant","1895.0"
"Año 2009","Primero","Comunitat Valenciana","Castellón/Castelló","338.0"
"Año 2009","Primero","Comunitat Valenciana","Valencia/València","2532.0"
"Año 2009","Primero","Extremadura","Badajoz","253.0"
"Año 2009","Primero","Extremadura","Cáceres","216.0"
"Año 2009","Primero","Galicia","A Coruña","528.0"
"Año 2009","Primero","Galicia","Lugo","135.0"
"Año 2009","Primero","Galicia","Ourense","198.0"
"Año 2009","Primero","Galicia","Pontevedra","560.0"
"Año 2009","Primero","Comunidad de Madrid","Madrid","5429.0"
"Año 2009","Primero","Región de Murcia","Murcia","1388.0"
"Año 2009","Primero","Comunidad Foral de Navarra","Navarra","258.0"
"Año 2009","Primero","País Vasco","Araba/Álava","191.0"
"Año 2009","Primero","País Vasco","Gipuzkoa","310.0"
"Año 2009","Primero","País Vasco","Bizkaia","527.0"
"Año 2009","Primero","La Rioja","La Rioja","232.0"
"Año 2009","Primero","Ceuta","Ceuta","64.0"
"Año 2009","Primero","Melilla","Melilla","85.0"
"Año 2009","Segundo","Andalucía","Almería","715.0"
"Año 2009","Segundo","Andalucía","Cádiz","924.0"
"Año 2009","Segundo","Andalucía","Córdoba","348.0"
"Año 2009","Segundo","Andalucía","Granada","1030.0"
"Año 2009","Segundo","Andalucía","Huelva","612.0"
"Año 2009","Segundo","Andalucía","Jaén","398.0"
"Año 2009","Segundo","Andalucía","Málaga","1131.0"
"Año 2009","Segundo","Andalucía","Sevilla","1563.0"
"Año 2009","Segundo","Aragón","Huesca","94.0"
"Año 2009","Segundo","Aragón","Teruel","43.0"
