"Año","Comunidad autónoma","Provincia","Número de perceptoras"
"Año 2006","Andalucía","Almería","168.0"
"Año 2006","Andalucía","Cádiz","916.0"
"Año 2006","Andalucía","Córdoba","418.0"
"Año 2006","Andalucía","Granada","570.0"
"Año 2006","Andalucía","Huelva","229.0"
"Año 2006","Andalucía","Jaén","352.0"
"Año 2006","Andalucía","Málaga","548.0"
"Año 2006","Andalucía","Sevilla","923.0"
"Año 2006","Aragón","Huesca","22.0"
"Año 2006","Aragón","Teruel","27.0"
"Año 2006","Aragón","Zaragoza","124.0"
"Año 2006","Principado de Asturias","Asturias","266.0"
"Año 2006","Illes Balears","Illes Balears","137.0"
"Año 2006","Canarias","Las Palmas","378.0"
"Año 2006","Canarias","Santa Cruz de Tenerife","382.0"
"Año 2006","Cantabria","Cantabria","106.0"
"Año 2006","Castilla y León","Ávila","22.0"
"Año 2006","Castilla y León","Burgos","41.0"
"Año 2006","Castilla y León","León","195.0"
"Año 2006","Castilla y León","Palencia","39.0"
"Año 2006","Castilla y León","Salamanca","81.0"
"Año 2006","Castilla y León","Segovia","9.0"
"Año 2006","Castilla y León","Soria","14.0"
"Año 2006","Castilla y León","Valladolid","60.0"
"Año 2006","Castilla y León","Zamora","33.0"
"Año 2006","Castilla-La Mancha","Albacete","107.0"
"Año 2006","Castilla-La Mancha","Ciudad Real","147.0"
"Año 2006","Castilla-La Mancha","Cuenca","27.0"
"Año 2006","Castilla-La Mancha","Guadalajara","25.0"
"Año 2006","Castilla-La Mancha","Toledo","92.0"
"Año 2006","Cataluña","Barcelona","555.0"
"Año 2006","Cataluña","Girona","74.0"
"Año 2006","Cataluña","Lleida","37.0"
"Año 2006","Cataluña","Tarragona","139.0"
"Año 2006","Comunitat Valenciana","Alicante/Alacant","703.0"
"Año 2006","Comunitat Valenciana","Castellón/Castelló","78.0"
"Año 2006","Comunitat Valenciana","Valencia/València","649.0"
"Año 2006","Extremadura","Badajoz","272.0"
"Año 2006","Extremadura","Cáceres","98.0"
"Año 2006","Galicia","A Coruña","200.0"
"Año 2006","Galicia","Lugo","67.0"
"Año 2006","Galicia","Ourense","70.0"
"Año 2006","Galicia","Pontevedra","174.0"
"Año 2006","Comunidad de Madrid","Madrid","715.0"
"Año 2006","Región de Murcia","Murcia","273.0"
"Año 2006","Comunidad Foral de Navarra","Navarra","65.0"
"Año 2006","País Vasco","Araba/Álava","8.0"
"Año 2006","País Vasco","Bizkaia","87.0"
"Año 2006","País Vasco","Gipuzkoa","71.0"
"Año 2006","La Rioja","La Rioja","37.0"
"Año 2006","Ceuta","Ceuta","52.0"
"Año 2006","Melilla","Melilla","42.0"
"Año 2007","Andalucía","Almería","252.0"
"Año 2007","Andalucía","Cádiz","1065.0"
"Año 2007","Andalucía","Córdoba","449.0"
"Año 2007","Andalucía","Granada","636.0"
"Año 2007","Andalucía","Huelva","275.0"
"Año 2007","Andalucía","Jaén","464.0"
"Año 2007","Andalucía","Málaga","653.0"
"Año 2007","Andalucía","Sevilla","1073.0"
"Año 2007","Aragón","Huesca","24.0"
"Año 2007","Aragón","Teruel","35.0"
"Año 2007","Aragón","Zaragoza","163.0"
"Año 2007","Principado de Asturias","Asturias","305.0"
"Año 2007","Illes Balears","Illes Balears","209.0"
"Año 2007","Canarias","Las Palmas","482.0"
"Año 2007","Canarias","Santa Cruz de Tenerife","516.0"
"Año 2007","Cantabria","Cantabria","136.0"
"Año 2007","Castilla y León","Ávila","25.0"
"Año 2007","Castilla y León","Burgos","55.0"
"Año 2007","Castilla y León","León","210.0"
"Año 2007","Castilla y León","Palencia","62.0"
"Año 2007","Castilla y León","Salamanca","89.0"
"Año 2007","Castilla y León","Segovia","16.0"
"Año 2007","Castilla y León","Soria","13.0"
"Año 2007","Castilla y León","Valladolid","85.0"
"Año 2007","Castilla y León","Zamora","38.0"
"Año 2007","Castilla-La Mancha","Albacete","131.0"
