"Año","Trimestre","Mes","Comunidad autónoma","Provincia","Número de menores víctimas mortales"
"Año 2013","Primero","Marzo","Canarias","Santa Cruz de Tenerife","1.0"
"Año 2013","Segundo","Abril","Andalucía","Málaga","1.0"
"Año 2013","Segundo","Abril","Castilla-La Mancha","Ciudad Real","2.0"
"Año 2013","Tercero","Septiembre","Andalucía","Málaga","1.0"
"Año 2013","Cuarto","Octubre","Comunitat Valenciana","Castellón/Castelló","1.0"
"Año 2014","Segundo","Abril","Comunidad de Madrid","Madrid","1.0"
"Año 2014","Cuarto","Noviembre","Principado de Asturias","Asturias","2.0"
"Año 2014","Cuarto","Noviembre","Comunidad de Madrid","Madrid","1.0"
"Año 2015","Primero","Febrero","Andalucía","Málaga","1.0"
"Año 2015","Segundo","Mayo","Comunitat Valenciana","Alicante/Alacant","1.0"
"Año 2015","Segundo","Junio","Comunitat Valenciana","Alicante/Alacant","2.0"
"Año 2015","Tercero","Julio","Galicia","Pontevedra","2.0"
"Año 2015","Tercero","Agosto","Cataluña","Barcelona","2.0"
"Año 2015","Cuarto","Diciembre","Comunitat Valenciana","Alicante/Alacant","1.0"
"Año 2016","Segundo","Junio","Andalucía","Almería","1.0"
"Año 2017","Primero","Febrero","Comunidad de Madrid","Madrid","1.0"
"Año 2017","Primero","Marzo","Castilla-La Mancha","Ciudad Real","2.0"
"Año 2017","Segundo","Mayo","Galicia","A Coruña","1.0"
"Año 2017","Segundo","Mayo","Comunidad de Madrid","Madrid","1.0"
"Año 2017","Segundo","Junio","Andalucía","Cádiz","1.0"
"Año 2017","Cuarto","Octubre","Cataluña","Barcelona","1.0"
"Año 2017","Cuarto","Noviembre","Comunitat Valenciana","Valencia/València","1.0"
"Año 2018","Primero","Marzo","Comunidad de Madrid","Madrid","2.0"
"Año 2018","Segundo","Abril","Andalucía","Almería","1.0"
"Año 2018","Tercero","Julio","Canarias","Santa Cruz de Tenerife","2.0"
"Año 2018","Tercero","Septiembre","Comunitat Valenciana","Castellón/Castelló","2.0"
"Año 2019","Segundo","Abril","Canarias","Santa Cruz de Tenerife","1.0"
"Año 2019","Tercero","Julio","Región de Murcia","Murcia","1.0"
"Año 2019","Tercero","Agosto","Aragón","Teruel","1.0"
"Año 2020","Primero","Enero","Cataluña","Barcelona","1.0"
"Año 2020","Segundo","Junio","Andalucía","Jaén","2.0"
"Año 2020","Tercero","Septiembre","Comunitat Valenciana","Castellón/Castelló","1.0"
"Año 2021","Primero","Marzo","Comunidad de Madrid","Madrid","1.0"
"Año 2021","Segundo","Abril","Canarias","Santa Cruz de Tenerife","2.0"
"Año 2021","Segundo","Mayo","Illes Balears","Illes Balears","1.0"
"Año 2021","Tercero","Agosto","Cataluña","Barcelona","1.0"
"Año 2021","Cuarto","Diciembre","Cantabria","Cantabria","1.0"
"Año 2021","Cuarto","Diciembre","Comunidad de Madrid","Madrid","1.0"
"Año 2022","Segundo","Abril","Comunitat Valenciana","Valencia/València","1.0"
"Año 2022","Cuarto","Noviembre","Comunidad de Madrid","Madrid","1.0"
"Año 2023","Primero","Enero","Castilla y León","Valladolid","1.0"
"Año 2023","Cuarto","Noviembre","Comunidad de Madrid","Madrid","1.0"
"Año 2024","Primero","Marzo","Andalucía","Almería","2.0"
"Año 2024","Segundo","Abril","Cataluña","Barcelona","2.0"
"Año 2024","Segundo","Abril","Cataluña","Girona","1.0"
"Año 2024","Segundo","Junio","Castilla-La Mancha","Cuenca","2.0"
"Año 2024","Tercero","Agosto","Castilla-La Mancha","Toledo","1.0"
