"Año","Mes","Comunidad autónoma","Provincia","Número de mujeres víctimas mortales","Número de hijos e hijas menores huérfanos"
"Año 2003","Enero","Andalucía","Almería","1.0","0.0"
"Año 2003","Enero","Andalucía","Granada","1.0","0.0"
"Año 2003","Enero","Andalucía","Málaga","1.0","0.0"
"Año 2003","Enero","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2003","Enero","Cataluña","Barcelona","3.0","0.0"
"Año 2003","Enero","La Rioja","La Rioja","1.0","0.0"
"Año 2003","Febrero","Andalucía","Málaga","1.0","0.0"
"Año 2003","Febrero","Cataluña","Tarragona","1.0","0.0"
"Año 2003","Febrero","Galicia","A Coruña","1.0","0.0"
"Año 2003","Febrero","La Rioja","La Rioja","1.0","0.0"
"Año 2003","Marzo","Andalucía","Cádiz","1.0","0.0"
"Año 2003","Marzo","Andalucía","Jaén","2.0","0.0"
"Año 2003","Marzo","Galicia","A Coruña","1.0","0.0"
"Año 2003","Marzo","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Marzo","Región de Murcia","Murcia","1.0","0.0"
"Año 2003","Abril","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Abril","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Abril","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2003","Abril","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Abril","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2003","Mayo","Aragón","Teruel","1.0","0.0"
"Año 2003","Mayo","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2003","Mayo","Cataluña","Girona","1.0","0.0"
"Año 2003","Mayo","Cataluña","Tarragona","1.0","0.0"
"Año 2003","Mayo","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Mayo","Galicia","Pontevedra","1.0","0.0"
"Año 2003","Junio","Aragón","Zaragoza","1.0","0.0"
"Año 2003","Junio","Principado de Asturias","Asturias","1.0","0.0"
"Año 2003","Junio","Castilla y León","Salamanca","1.0","0.0"
"Año 2003","Junio","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Junio","Cataluña","Lleida","1.0","0.0"
"Año 2003","Junio","Galicia","A Coruña","1.0","0.0"
"Año 2003","Junio","Región de Murcia","Murcia","1.0","0.0"
"Año 2003","Junio","Ceuta","Ceuta","1.0","0.0"
"Año 2003","Julio","Illes Balears","Illes Balears","1.0","0.0"
"Año 2003","Julio","Cantabria","Cantabria","1.0","0.0"
"Año 2003","Julio","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2003","Julio","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Julio","Cataluña","Girona","1.0","0.0"
"Año 2003","Julio","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2003","Julio","Galicia","Pontevedra","1.0","0.0"
"Año 2003","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Agosto","Illes Balears","Illes Balears","2.0","0.0"
"Año 2003","Agosto","Canarias","Santa Cruz de Tenerife","2.0","0.0"
"Año 2003","Agosto","Castilla y León","Valladolid","1.0","0.0"
"Año 2003","Agosto","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Agosto","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Septiembre","Andalucía","Jaén","1.0","0.0"
"Año 2003","Septiembre","Andalucía","Sevilla","1.0","0.0"
"Año 2003","Septiembre","Principado de Asturias","Asturias","1.0","0.0"
"Año 2003","Septiembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Octubre","Extremadura","Badajoz","1.0","0.0"
"Año 2003","Octubre","Región de Murcia","Murcia","1.0","0.0"
"Año 2003","Noviembre","Andalucía","Cádiz","2.0","0.0"
"Año 2003","Noviembre","Andalucía","Córdoba","1.0","0.0"
"Año 2003","Noviembre","Andalucía","Sevilla","1.0","0.0"
"Año 2003","Noviembre","Illes Balears","Illes Balears","1.0","0.0"
"Año 2003","Noviembre","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Noviembre","Castilla y León","León","1.0","0.0"
"Año 2003","Noviembre","Castilla y León","Valladolid","1.0","0.0"
"Año 2003","Noviembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Diciembre","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Diciembre","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Enero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2004","Enero","Extremadura","Badajoz","1.0","0.0"
"Año 2004","Febrero","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Febrero","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Febrero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2004","Febrero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2004","Febrero","País Vasco","Bizkaia","1.0","0.0"
"Año 2004","Marzo","Andalucía","Almería","1.0","0.0"
"Año 2004","Marzo","Andalucía","Granada","2.0","0.0"
"Año 2004","Marzo","Aragón","Zaragoza","1.0","0.0"
"Año 2004","Marzo","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2004","Marzo","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Abril","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Abril","Andalucía","Málaga","1.0","0.0"
"Año 2004","Abril","Castilla-La Mancha","Guadalajara","1.0","0.0"
"Año 2004","Abril","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Abril","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Mayo","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Mayo","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Mayo","Aragón","Zaragoza","1.0","0.0"
"Año 2004","Mayo","Castilla y León","León","1.0","0.0"
"Año 2004","Mayo","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2004","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Mayo","Cataluña","Tarragona","1.0","0.0"
"Año 2004","Mayo","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Junio","Andalucía","Granada","2.0","0.0"
"Año 2004","Junio","Comunitat Valenciana","Valencia/València","3.0","0.0"
"Año 2004","Junio","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2004","Julio","Andalucía","Almería","1.0","0.0"
"Año 2004","Julio","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Julio","Canarias","Las Palmas","1.0","0.0"
"Año 2004","Julio","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2004","Julio","Región de Murcia","Murcia","2.0","0.0"
"Año 2004","Agosto","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Agosto","Cantabria","Cantabria","1.0","0.0"
"Año 2004","Agosto","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2004","Agosto","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Agosto","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2004","Septiembre","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Septiembre","Cantabria","Cantabria","1.0","0.0"
"Año 2004","Septiembre","Castilla y León","León","1.0","0.0"
"Año 2004","Septiembre","Cataluña","Barcelona","2.0","0.0"
"Año 2004","Septiembre","Cataluña","Tarragona","1.0","0.0"
"Año 2004","Septiembre","País Vasco","Bizkaia","1.0","0.0"
"Año 2004","Octubre","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Octubre","Andalucía","Huelva","1.0","0.0"
"Año 2004","Octubre","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Octubre","Cataluña","Tarragona","1.0","0.0"
"Año 2004","Octubre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Octubre","Región de Murcia","Murcia","1.0","0.0"
"Año 2004","Octubre","La Rioja","La Rioja","1.0","0.0"
"Año 2004","Noviembre","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Noviembre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2004","Noviembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Noviembre","País Vasco","Bizkaia","1.0","0.0"
"Año 2004","Diciembre","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2004","Diciembre","Cataluña","Barcelona","2.0","0.0"
"Año 2004","Diciembre","Extremadura","Cáceres","1.0","0.0"
"Año 2004","Diciembre","Galicia","A Coruña","1.0","0.0"
"Año 2004","Diciembre","Galicia","Ourense","1.0","0.0"
"Año 2004","Diciembre","Región de Murcia","Murcia","1.0","0.0"
"Año 2004","Diciembre","País Vasco","Bizkaia","1.0","0.0"
"Año 2005","Enero","Andalucía","Málaga","1.0","0.0"
"Año 2005","Enero","Aragón","Huesca","1.0","0.0"
"Año 2005","Enero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2005","Enero","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2005","Enero","Región de Murcia","Murcia","1.0","0.0"
"Año 2005","Enero","País Vasco","Bizkaia","1.0","0.0"
"Año 2005","Febrero","Andalucía","Córdoba","1.0","0.0"
"Año 2005","Febrero","Andalucía","Granada","1.0","0.0"
"Año 2005","Febrero","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Febrero","Región de Murcia","Murcia","1.0","0.0"
"Año 2005","Febrero","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2005","Marzo","Andalucía","Almería","1.0","0.0"
"Año 2005","Marzo","Illes Balears","Illes Balears","1.0","0.0"
"Año 2005","Marzo","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2005","Abril","Andalucía","Málaga","1.0","0.0"
"Año 2005","Abril","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Abril","Castilla y León","Burgos","1.0","0.0"
"Año 2005","Abril","Cataluña","Barcelona","1.0","0.0"
"Año 2005","Abril","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Mayo","Aragón","Zaragoza","1.0","0.0"
"Año 2005","Mayo","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2005","Mayo","Castilla y León","León","1.0","0.0"
"Año 2005","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2005","Junio","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2005","Junio","Castilla-La Mancha","Ciudad Real","1.0","0.0"
"Año 2005","Junio","Cataluña","Barcelona","1.0","0.0"
"Año 2005","Junio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2005","Junio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2005","Junio","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2005","Julio","Aragón","Zaragoza","1.0","0.0"
"Año 2005","Julio","Cataluña","Girona","1.0","0.0"
"Año 2005","Julio","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2005","Agosto","Principado de Asturias","Asturias","1.0","0.0"
"Año 2005","Agosto","Illes Balears","Illes Balears","2.0","0.0"
"Año 2005","Agosto","Castilla y León","León","1.0","0.0"
"Año 2005","Agosto","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2005","Septiembre","Andalucía","Almería","1.0","0.0"
"Año 2005","Septiembre","Andalucía","Sevilla","1.0","0.0"
"Año 2005","Septiembre","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Septiembre","Castilla y León","Ávila","1.0","0.0"
"Año 2005","Octubre","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Octubre","Cataluña","Lleida","1.0","0.0"
"Año 2005","Octubre","Cataluña","Tarragona","1.0","0.0"
"Año 2005","Octubre","País Vasco","Bizkaia","2.0","0.0"
"Año 2005","Noviembre","Aragón","Zaragoza","1.0","0.0"
"Año 2005","Noviembre","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Noviembre","Cataluña","Girona","1.0","0.0"
