Medidas cautelares;Comunidades y ciudades autónomas;Periodo;Total
Total medidas cautelares dictadas;Total Nacional;2023;109.383
Total medidas cautelares dictadas;Total Nacional;2022;97.616
Total medidas cautelares dictadas;Total Nacional;2021;93.028
Total medidas cautelares dictadas;Total Nacional;2020;90.912
Total medidas cautelares dictadas;Total Nacional;2019;98.990
Total medidas cautelares dictadas;Total Nacional;2018;98.044
Total medidas cautelares dictadas;Total Nacional;2017;89.877
Total medidas cautelares dictadas;Total Nacional;2016;87.704
Total medidas cautelares dictadas;Total Nacional;2015;84.594
Total medidas cautelares dictadas;Total Nacional;2014;83.156
Total medidas cautelares dictadas;Total Nacional;2013;82.805
Total medidas cautelares dictadas;Total Nacional;2012;89.657
Total medidas cautelares dictadas;Total Nacional;2011;98.159
Total medidas cautelares dictadas;Andalucía;2023;24.988
Total medidas cautelares dictadas;Andalucía;2022;21.563
Total medidas cautelares dictadas;Andalucía;2021;20.293
Total medidas cautelares dictadas;Andalucía;2020;21.038
Total medidas cautelares dictadas;Andalucía;2019;21.435
Total medidas cautelares dictadas;Andalucía;2018;21.437
Total medidas cautelares dictadas;Andalucía;2017;20.743
Total medidas cautelares dictadas;Andalucía;2016;21.016
Total medidas cautelares dictadas;Andalucía;2015;20.550
Total medidas cautelares dictadas;Andalucía;2014;20.564
Total medidas cautelares dictadas;Andalucía;2013;19.862
Total medidas cautelares dictadas;Andalucía;2012;21.733
Total medidas cautelares dictadas;Andalucía;2011;23.392
Total medidas cautelares dictadas;Aragón;2023;3.405
Total medidas cautelares dictadas;Aragón;2022;2.762
Total medidas cautelares dictadas;Aragón;2021;2.614
Total medidas cautelares dictadas;Aragón;2020;2.422
Total medidas cautelares dictadas;Aragón;2019;2.732
Total medidas cautelares dictadas;Aragón;2018;2.917
Total medidas cautelares dictadas;Aragón;2017;2.771
Total medidas cautelares dictadas;Aragón;2016;3.053
Total medidas cautelares dictadas;Aragón;2015;2.469
Total medidas cautelares dictadas;Aragón;2014;2.590
Total medidas cautelares dictadas;Aragón;2013;2.409
Total medidas cautelares dictadas;Aragón;2012;2.382
Total medidas cautelares dictadas;Aragón;2011;2.848
Total medidas cautelares dictadas;Asturias, Principado de;2023;2.254
Total medidas cautelares dictadas;Asturias, Principado de;2022;2.146
Total medidas cautelares dictadas;Asturias, Principado de;2021;1.627
Total medidas cautelares dictadas;Asturias, Principado de;2020;1.985
Total medidas cautelares dictadas;Asturias, Principado de;2019;2.100
Total medidas cautelares dictadas;Asturias, Principado de;2018;1.956
Total medidas cautelares dictadas;Asturias, Principado de;2017;1.940
Total medidas cautelares dictadas;Asturias, Principado de;2016;1.762
Total medidas cautelares dictadas;Asturias, Principado de;2015;1.505
Total medidas cautelares dictadas;Asturias, Principado de;2014;1.383
Total medidas cautelares dictadas;Asturias, Principado de;2013;1.327
Total medidas cautelares dictadas;Asturias, Principado de;2012;1.218
Total medidas cautelares dictadas;Asturias, Principado de;2011;1.746
Total medidas cautelares dictadas;Balears, Illes;2023;3.624
Total medidas cautelares dictadas;Balears, Illes;2022;3.187
Total medidas cautelares dictadas;Balears, Illes;2021;2.704
Total medidas cautelares dictadas;Balears, Illes;2020;2.631
Total medidas cautelares dictadas;Balears, Illes;2019;2.993
Total medidas cautelares dictadas;Balears, Illes;2018;2.637
Total medidas cautelares dictadas;Balears, Illes;2017;2.424
Total medidas cautelares dictadas;Balears, Illes;2016;2.299
Total medidas cautelares dictadas;Balears, Illes;2015;2.126
Total medidas cautelares dictadas;Balears, Illes;2014;1.962
Total medidas cautelares dictadas;Balears, Illes;2013;2.210
Total medidas cautelares dictadas;Balears, Illes;2012;2.092
Total medidas cautelares dictadas;Balears, Illes;2011;2.315
Total medidas cautelares dictadas;Canarias;2023;6.086
Total medidas cautelares dictadas;Canarias;2022;4.868
Total medidas cautelares dictadas;Canarias;2021;4.975
Total medidas cautelares dictadas;Canarias;2020;4.683
Total medidas cautelares dictadas;Canarias;2019;4.569
Total medidas cautelares dictadas;Canarias;2018;4.522
Total medidas cautelares dictadas;Canarias;2017;3.559
Total medidas cautelares dictadas;Canarias;2016;3.667
Total medidas cautelares dictadas;Canarias;2015;3.633
Total medidas cautelares dictadas;Canarias;2014;3.249
Total medidas cautelares dictadas;Canarias;2013;3.631
Total medidas cautelares dictadas;Canarias;2012;3.797
Total medidas cautelares dictadas;Canarias;2011;4.023
Total medidas cautelares dictadas;Cantabria;2023;2.165
Total medidas cautelares dictadas;Cantabria;2022;1.653
Total medidas cautelares dictadas;Cantabria;2021;1.369
Total medidas cautelares dictadas;Cantabria;2020;1.173
Total medidas cautelares dictadas;Cantabria;2019;1.261
Total medidas cautelares dictadas;Cantabria;2018;1.588
Total medidas cautelares dictadas;Cantabria;2017;1.378
Total medidas cautelares dictadas;Cantabria;2016;1.560
Total medidas cautelares dictadas;Cantabria;2015;1.249
Total medidas cautelares dictadas;Cantabria;2014;1.310
Total medidas cautelares dictadas;Cantabria;2013;1.167
Total medidas cautelares dictadas;Cantabria;2012;1.072
Total medidas cautelares dictadas;Cantabria;2011;1.346
Total medidas cautelares dictadas;Castilla y León;2023;5.985
Total medidas cautelares dictadas;Castilla y León;2022;4.944
Total medidas cautelares dictadas;Castilla y León;2021;4.937
Total medidas cautelares dictadas;Castilla y León;2020;4.864
Total medidas cautelares dictadas;Castilla y León;2019;5.055
Total medidas cautelares dictadas;Castilla y León;2018;4.473
Total medidas cautelares dictadas;Castilla y León;2017;4.436
Total medidas cautelares dictadas;Castilla y León;2016;4.210
Total medidas cautelares dictadas;Castilla y León;2015;4.451
Total medidas cautelares dictadas;Castilla y León;2014;4.614
Total medidas cautelares dictadas;Castilla y León;2013;4.381
Total medidas cautelares dictadas;Castilla y León;2012;4.395
Total medidas cautelares dictadas;Castilla y León;2011;4.831
Total medidas cautelares dictadas;Castilla - La Mancha;2023;6.714
Total medidas cautelares dictadas;Castilla - La Mancha;2022;6.524
Total medidas cautelares dictadas;Castilla - La Mancha;2021;6.437
Total medidas cautelares dictadas;Castilla - La Mancha;2020;5.463
Total medidas cautelares dictadas;Castilla - La Mancha;2019;6.158
Total medidas cautelares dictadas;Castilla - La Mancha;2018;6.067
Total medidas cautelares dictadas;Castilla - La Mancha;2017;5.379
Total medidas cautelares dictadas;Castilla - La Mancha;2016;5.627
Total medidas cautelares dictadas;Castilla - La Mancha;2015;5.818
Total medidas cautelares dictadas;Castilla - La Mancha;2014;5.819
Total medidas cautelares dictadas;Castilla - La Mancha;2013;5.345
Total medidas cautelares dictadas;Castilla - La Mancha;2012;6.056
Total medidas cautelares dictadas;Castilla - La Mancha;2011;6.474
Total medidas cautelares dictadas;Cataluña;2023;8.818
Total medidas cautelares dictadas;Cataluña;2022;8.535
Total medidas cautelares dictadas;Cataluña;2021;8.060
Total medidas cautelares dictadas;Cataluña;2020;8.429
Total medidas cautelares dictadas;Cataluña;2019;9.485
Total medidas cautelares dictadas;Cataluña;2018;9.477
Total medidas cautelares dictadas;Cataluña;2017;8.327
Total medidas cautelares dictadas;Cataluña;2016;7.449
Total medidas cautelares dictadas;Cataluña;2015;7.425
Total medidas cautelares dictadas;Cataluña;2014;6.552
Total medidas cautelares dictadas;Cataluña;2013;7.168
Total medidas cautelares dictadas;Cataluña;2012;8.752
Total medidas cautelares dictadas;Cataluña;2011;10.200
Total medidas cautelares dictadas;Comunitat Valenciana;2023;15.450
Total medidas cautelares dictadas;Comunitat Valenciana;2022;14.795
Total medidas cautelares dictadas;Comunitat Valenciana;2021;13.561
Total medidas cautelares dictadas;Comunitat Valenciana;2020;13.698
Total medidas cautelares dictadas;Comunitat Valenciana;2019;14.896
Total medidas cautelares dictadas;Comunitat Valenciana;2018;14.753
Total medidas cautelares dictadas;Comunitat Valenciana;2017;12.540
Total medidas cautelares dictadas;Comunitat Valenciana;2016;11.978
Total medidas cautelares dictadas;Comunitat Valenciana;2015;12.739
Total medidas cautelares dictadas;Comunitat Valenciana;2014;11.901
Total medidas cautelares dictadas;Comunitat Valenciana;2013;11.866
Total medidas cautelares dictadas;Comunitat Valenciana;2012;12.874
Total medidas cautelares dictadas;Comunitat Valenciana;2011;13.647
Total medidas cautelares dictadas;Extremadura;2023;3.474
Total medidas cautelares dictadas;Extremadura;2022;3.018
Total medidas cautelares dictadas;Extremadura;2021;2.380
Total medidas cautelares dictadas;Extremadura;2020;2.124
Total medidas cautelares dictadas;Extremadura;2019;2.691
Total medidas cautelares dictadas;Extremadura;2018;2.625
Total medidas cautelares dictadas;Extremadura;2017;2.547
Total medidas cautelares dictadas;Extremadura;2016;2.683
Total medidas cautelares dictadas;Extremadura;2015;2.607
Total medidas cautelares dictadas;Extremadura;2014;2.769
Total medidas cautelares dictadas;Extremadura;2013;2.779
Total medidas cautelares dictadas;Extremadura;2012;2.730
Total medidas cautelares dictadas;Extremadura;2011;2.729
Total medidas cautelares dictadas;Galicia;2023;4.506
Total medidas cautelares dictadas;Galicia;2022;3.960
Total medidas cautelares dictadas;Galicia;2021;3.706
Total medidas cautelares dictadas;Galicia;2020;3.767
Total medidas cautelares dictadas;Galicia;2019;4.157
Total medidas cautelares dictadas;Galicia;2018;4.143
Total medidas cautelares dictadas;Galicia;2017;3.711
Total medidas cautelares dictadas;Galicia;2016;3.712
Total medidas cautelares dictadas;Galicia;2015;3.398
Total medidas cautelares dictadas;Galicia;2014;3.433
Total medidas cautelares dictadas;Galicia;2013;3.676
Total medidas cautelares dictadas;Galicia;2012;3.738
Total medidas cautelares dictadas;Galicia;2011;3.996
Total medidas cautelares dictadas;Madrid, Comunidad de;2023;11.052
Total medidas cautelares dictadas;Madrid, Comunidad de;2022;9.912
Total medidas cautelares dictadas;Madrid, Comunidad de;2021;11.196
Total medidas cautelares dictadas;Madrid, Comunidad de;2020;10.387
Total medidas cautelares dictadas;Madrid, Comunidad de;2019;12.346
Total medidas cautelares dictadas;Madrid, Comunidad de;2018;12.454
Total medidas cautelares dictadas;Madrid, Comunidad de;2017;12.255
Total medidas cautelares dictadas;Madrid, Comunidad de;2016;10.895
Total medidas cautelares dictadas;Madrid, Comunidad de;2015;9.235
Total medidas cautelares dictadas;Madrid, Comunidad de;2014;9.828
Total medidas cautelares dictadas;Madrid, Comunidad de;2013;9.807
Total medidas cautelares dictadas;Madrid, Comunidad de;2012;11.241
Total medidas cautelares dictadas;Madrid, Comunidad de;2011;12.844
Total medidas cautelares dictadas;Murcia, Región de;2023;5.725
Total medidas cautelares dictadas;Murcia, Región de;2022;5.041
Total medidas cautelares dictadas;Murcia, Región de;2021;5.037
Total medidas cautelares dictadas;Murcia, Región de;2020;4.551
Total medidas cautelares dictadas;Murcia, Región de;2019;4.819
Total medidas cautelares dictadas;Murcia, Región de;2018;4.389
