Comunidades y ciudades autónomas;Grupo de edad;Periodo;Total
Total Nacional;Todas las edades;2023;36.582
Total Nacional;Todas las edades;2022;32.644
Total Nacional;Todas las edades;2021;30.141
Total Nacional;Todas las edades;2020;29.215
Total Nacional;Todas las edades;2019;31.911
Total Nacional;Todas las edades;2018;31.286
Total Nacional;Todas las edades;2017;29.008
Total Nacional;Todas las edades;2016;28.281
Total Nacional;Todas las edades;2015;27.624
Total Nacional;Todas las edades;2014;27.087
Total Nacional;Todas las edades;2013;27.122
Total Nacional;Todas las edades;2012;29.146
Total Nacional;Todas las edades;2011;32.242
Total Nacional;Menos de 18 años;2023;665
Total Nacional;Menos de 18 años;2022;594
Total Nacional;Menos de 18 años;2021;661
Total Nacional;Menos de 18 años;2020;514
Total Nacional;Menos de 18 años;2019;719
Total Nacional;Menos de 18 años;2018;677
Total Nacional;Menos de 18 años;2017;653
Total Nacional;Menos de 18 años;2016;569
Total Nacional;Menos de 18 años;2015;637
Total Nacional;Menos de 18 años;2014;576
Total Nacional;Menos de 18 años;2013;499
Total Nacional;Menos de 18 años;2012;545
Total Nacional;Menos de 18 años;2011;571
Total Nacional;De 18 a 24 años;2023;4.933
Total Nacional;De 18 a 24 años;2022;4.418
Total Nacional;De 18 a 24 años;2021;4.301
Total Nacional;De 18 a 24 años;2020;4.092
Total Nacional;De 18 a 24 años;2019;4.668
Total Nacional;De 18 a 24 años;2018;4.670
Total Nacional;De 18 a 24 años;2017;4.287
Total Nacional;De 18 a 24 años;2016;4.234
Total Nacional;De 18 a 24 años;2015;4.002
Total Nacional;De 18 a 24 años;2014;3.936
Total Nacional;De 18 a 24 años;2013;4.042
Total Nacional;De 18 a 24 años;2012;4.474
Total Nacional;De 18 a 24 años;2011;5.170
Total Nacional;De 25 a 44 años;2023;22.232
Total Nacional;De 25 a 44 años;2022;19.954
Total Nacional;De 25 a 44 años;2021;18.375
Total Nacional;De 25 a 44 años;2020;18.018
Total Nacional;De 25 a 44 años;2019;19.785
Total Nacional;De 25 a 44 años;2018;19.293
Total Nacional;De 25 a 44 años;2017;17.798
Total Nacional;De 25 a 44 años;2016;17.596
Total Nacional;De 25 a 44 años;2015;17.145
Total Nacional;De 25 a 44 años;2014;17.172
Total Nacional;De 25 a 44 años;2013;17.313
Total Nacional;De 25 a 44 años;2012;18.912
Total Nacional;De 25 a 44 años;2011;20.613
Total Nacional;De 45 a 64 años;2023;8.024
Total Nacional;De 45 a 64 años;2022;6.971
Total Nacional;De 45 a 64 años;2021;6.246
Total Nacional;De 45 a 64 años;2020;5.998
Total Nacional;De 45 a 64 años;2019;6.125
Total Nacional;De 45 a 64 años;2018;6.070
Total Nacional;De 45 a 64 años;2017;5.693
Total Nacional;De 45 a 64 años;2016;5.307
Total Nacional;De 45 a 64 años;2015;5.272
Total Nacional;De 45 a 64 años;2014;4.846
Total Nacional;De 45 a 64 años;2013;4.783
Total Nacional;De 45 a 64 años;2012;4.692
Total Nacional;De 45 a 64 años;2011;5.309
Total Nacional;65 y más años;2023;728
Total Nacional;65 y más años;2022;707
Total Nacional;65 y más años;2021;558
Total Nacional;65 y más años;2020;593
Total Nacional;65 y más años;2019;614
Total Nacional;65 y más años;2018;576
Total Nacional;65 y más años;2017;577
Total Nacional;65 y más años;2016;575
Total Nacional;65 y más años;2015;568
Total Nacional;65 y más años;2014;557
Total Nacional;65 y más años;2013;485
Total Nacional;65 y más años;2012;523
Total Nacional;65 y más años;2011;579
Andalucía;Todas las edades;2023;8.407
Andalucía;Todas las edades;2022;7.417
Andalucía;Todas las edades;2021;6.720
Andalucía;Todas las edades;2020;6.813
Andalucía;Todas las edades;2019;7.101
Andalucía;Todas las edades;2018;7.047
Andalucía;Todas las edades;2017;6.982
Andalucía;Todas las edades;2016;6.913
Andalucía;Todas las edades;2015;7.014
Andalucía;Todas las edades;2014;7.012
Andalucía;Todas las edades;2013;6.800
Andalucía;Todas las edades;2012;7.161
Andalucía;Todas las edades;2011;7.780
Andalucía;Menos de 18 años;2023;153
Andalucía;Menos de 18 años;2022;122
Andalucía;Menos de 18 años;2021;150
Andalucía;Menos de 18 años;2020;118
Andalucía;Menos de 18 años;2019;152
Andalucía;Menos de 18 años;2018;139
Andalucía;Menos de 18 años;2017;151
Andalucía;Menos de 18 años;2016;122
Andalucía;Menos de 18 años;2015;157
Andalucía;Menos de 18 años;2014;142
Andalucía;Menos de 18 años;2013;135
Andalucía;Menos de 18 años;2012;138
Andalucía;Menos de 18 años;2011;150
Andalucía;De 18 a 24 años;2023;1.068
Andalucía;De 18 a 24 años;2022;968
Andalucía;De 18 a 24 años;2021;941
Andalucía;De 18 a 24 años;2020;907
Andalucía;De 18 a 24 años;2019;997
Andalucía;De 18 a 24 años;2018;1.009
Andalucía;De 18 a 24 años;2017;1.006
Andalucía;De 18 a 24 años;2016;1.014
Andalucía;De 18 a 24 años;2015;1.045
Andalucía;De 18 a 24 años;2014;981
Andalucía;De 18 a 24 años;2013;1.022
Andalucía;De 18 a 24 años;2012;1.150
Andalucía;De 18 a 24 años;2011;1.277
Andalucía;De 25 a 44 años;2023;5.100
Andalucía;De 25 a 44 años;2022;4.564
Andalucía;De 25 a 44 años;2021;4.144
Andalucía;De 25 a 44 años;2020;4.224
Andalucía;De 25 a 44 años;2019;4.441
Andalucía;De 25 a 44 años;2018;4.327
Andalucía;De 25 a 44 años;2017;4.253
Andalucía;De 25 a 44 años;2016;4.294
Andalucía;De 25 a 44 años;2015;4.317
Andalucía;De 25 a 44 años;2014;4.421
Andalucía;De 25 a 44 años;2013;4.261
Andalucía;De 25 a 44 años;2012;4.618
Andalucía;De 25 a 44 años;2011;4.857
Andalucía;De 45 a 64 años;2023;1.900
Andalucía;De 45 a 64 años;2022;1.602
Andalucía;De 45 a 64 años;2021;1.370
Andalucía;De 45 a 64 años;2020;1.426
Andalucía;De 45 a 64 años;2019;1.375
Andalucía;De 45 a 64 años;2018;1.436
Andalucía;De 45 a 64 años;2017;1.437
Andalucía;De 45 a 64 años;2016;1.344
Andalucía;De 45 a 64 años;2015;1.339
Andalucía;De 45 a 64 años;2014;1.338
Andalucía;De 45 a 64 años;2013;1.266
Andalucía;De 45 a 64 años;2012;1.132
