"Año","Comunidad autónoma","Provincia","Número de ayudas para cambio de residencia"
"Año 2005","Andalucía","Almería","19.0"
"Año 2005","Andalucía","Cádiz","24.0"
"Año 2005","Andalucía","Córdoba","25.0"
"Año 2005","Andalucía","Granada","28.0"
"Año 2005","Andalucía","Huelva","22.0"
"Año 2005","Andalucía","Jaén","11.0"
"Año 2005","Andalucía","Málaga","13.0"
"Año 2005","Andalucía","Sevilla","27.0"
"Año 2005","Aragón","Huesca","0.0"
"Año 2005","Aragón","Teruel","31.0"
"Año 2005","Aragón","Zaragoza","9.0"
"Año 2005","Principado de Asturias","Asturias","9.0"
"Año 2005","Illes Balears","Illes Balears","21.0"
"Año 2005","Canarias","Las Palmas","33.0"
"Año 2005","Canarias","Santa Cruz de Tenerife","31.0"
"Año 2005","Cantabria","Cantabria","10.0"
"Año 2005","Castilla y León","Ávila","9.0"
"Año 2005","Castilla y León","Burgos","1.0"
"Año 2005","Castilla y León","León","13.0"
"Año 2005","Castilla y León","Palencia","14.0"
"Año 2005","Castilla y León","Salamanca","13.0"
"Año 2005","Castilla y León","Segovia","13.0"
"Año 2005","Castilla y León","Soria","8.0"
"Año 2005","Castilla y León","Valladolid","7.0"
"Año 2005","Castilla y León","Zamora","2.0"
"Año 2005","Castilla-La Mancha","Albacete","24.0"
"Año 2005","Castilla-La Mancha","Ciudad Real","7.0"
"Año 2005","Castilla-La Mancha","Cuenca","13.0"
"Año 2005","Castilla-La Mancha","Guadalajara","6.0"
"Año 2005","Castilla-La Mancha","Toledo","4.0"
"Año 2005","Cataluña","Barcelona","49.0"
"Año 2005","Cataluña","Girona","0.0"
"Año 2005","Cataluña","Lleida","2.0"
"Año 2005","Cataluña","Tarragona","30.0"
"Año 2005","Comunitat Valenciana","Alicante/Alacant","31.0"
"Año 2005","Comunitat Valenciana","Castellón/Castelló","15.0"
"Año 2005","Comunitat Valenciana","Valencia/València","7.0"
"Año 2005","Extremadura","Badajoz","10.0"
"Año 2005","Extremadura","Cáceres","6.0"
"Año 2005","Galicia","A Coruña","27.0"
"Año 2005","Galicia","Lugo","11.0"
"Año 2005","Galicia","Ourense","4.0"
"Año 2005","Galicia","Pontevedra","12.0"
"Año 2005","Comunidad de Madrid","Madrid","43.0"
"Año 2005","Región de Murcia","Murcia","6.0"
"Año 2005","Comunidad Foral de Navarra","Navarra","30.0"
"Año 2005","País Vasco","Araba/Álava","5.0"
"Año 2005","País Vasco","Bizkaia","8.0"
"Año 2005","País Vasco","Gipuzkoa","5.0"
"Año 2005","La Rioja","La Rioja","7.0"
"Año 2005","Ceuta","Ceuta","2.0"
"Año 2005","Melilla","Melilla","4.0"
"Año 2006","Andalucía","Almería","8.0"
"Año 2006","Andalucía","Cádiz","55.0"
"Año 2006","Andalucía","Córdoba","42.0"
"Año 2006","Andalucía","Granada","71.0"
"Año 2006","Andalucía","Huelva","14.0"
"Año 2006","Andalucía","Jaén","11.0"
"Año 2006","Andalucía","Málaga","16.0"
"Año 2006","Andalucía","Sevilla","38.0"
"Año 2006","Aragón","Huesca","1.0"
"Año 2006","Aragón","Teruel","9.0"
"Año 2006","Aragón","Zaragoza","14.0"
"Año 2006","Principado de Asturias","Asturias","16.0"
"Año 2006","Illes Balears","Illes Balears","13.0"
"Año 2006","Canarias","Las Palmas","45.0"
