"Año","Mes","Comunidad autónoma","Provincia","Instalaciones acumuladas","Desinstalaciones acumuladas","Dispositivos activos"
"Año 2009","Agosto","Andalucía","Almería","1.0","0.0","1.0"
"Año 2009","Agosto","Andalucía","Cádiz","1.0","0.0","1.0"
"Año 2009","Agosto","Andalucía","Córdoba","0.0","0.0","0.0"
"Año 2009","Agosto","Andalucía","Granada","0.0","0.0","0.0"
"Año 2009","Agosto","Andalucía","Huelva","0.0","0.0","0.0"
"Año 2009","Agosto","Andalucía","Jaén","0.0","0.0","0.0"
"Año 2009","Agosto","Andalucía","Málaga","0.0","0.0","0.0"
"Año 2009","Agosto","Andalucía","Sevilla","0.0","0.0","0.0"
"Año 2009","Agosto","Aragón","Huesca","0.0","0.0","0.0"
"Año 2009","Agosto","Aragón","Teruel","0.0","0.0","0.0"
"Año 2009","Agosto","Aragón","Zaragoza","0.0","0.0","0.0"
"Año 2009","Agosto","Principado de Asturias","Asturias","0.0","0.0","0.0"
"Año 2009","Agosto","Illes Balears","Illes Balears","0.0","0.0","0.0"
"Año 2009","Agosto","Canarias","Las Palmas","0.0","0.0","0.0"
"Año 2009","Agosto","Canarias","Santa Cruz de Tenerife","0.0","0.0","0.0"
"Año 2009","Agosto","Cantabria","Cantabria","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","Ávila","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","Burgos","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","León","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","Palencia","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","Salamanca","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","Segovia","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","Soria","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","Valladolid","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla y León","Zamora","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla-La Mancha","Albacete","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla-La Mancha","Ciudad Real","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla-La Mancha","Cuenca","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla-La Mancha","Guadalajara","0.0","0.0","0.0"
"Año 2009","Agosto","Castilla-La Mancha","Toledo","1.0","0.0","1.0"
"Año 2009","Agosto","Cataluña","Barcelona","0.0","0.0","0.0"
"Año 2009","Agosto","Cataluña","Girona","0.0","0.0","0.0"
"Año 2009","Agosto","Cataluña","Lleida","0.0","0.0","0.0"
"Año 2009","Agosto","Cataluña","Tarragona","1.0","0.0","1.0"
"Año 2009","Agosto","Comunitat Valenciana","Alicante/Alacant","0.0","0.0","0.0"
"Año 2009","Agosto","Comunitat Valenciana","Castellón/Castelló","0.0","0.0","0.0"
"Año 2009","Agosto","Comunitat Valenciana","Valencia/València","2.0","0.0","2.0"
"Año 2009","Agosto","Extremadura","Badajoz","1.0","0.0","1.0"
"Año 2009","Agosto","Extremadura","Cáceres","0.0","0.0","0.0"
"Año 2009","Agosto","Galicia","A Coruña","0.0","0.0","0.0"
"Año 2009","Agosto","Galicia","Lugo","0.0","0.0","0.0"
"Año 2009","Agosto","Galicia","Ourense","0.0","0.0","0.0"
"Año 2009","Agosto","Galicia","Pontevedra","0.0","0.0","0.0"
"Año 2009","Agosto","Comunidad de Madrid","Madrid","0.0","0.0","0.0"
"Año 2009","Agosto","Región de Murcia","Murcia","0.0","0.0","0.0"
"Año 2009","Agosto","Comunidad Foral de Navarra","Navarra","0.0","0.0","0.0"
"Año 2009","Agosto","País Vasco","Araba/Álava","0.0","0.0","0.0"
"Año 2009","Agosto","País Vasco","Bizkaia","0.0","0.0","0.0"
"Año 2009","Agosto","País Vasco","Gipuzkoa","0.0","0.0","0.0"
"Año 2009","Agosto","La Rioja","La Rioja","0.0","0.0","0.0"
"Año 2009","Agosto","Ceuta","Ceuta","0.0","0.0","0.0"
"Año 2009","Agosto","Melilla","Melilla","0.0","0.0","0.0"
"Año 2009","Septiembre","Andalucía","Almería","1.0","0.0","1.0"
"Año 2009","Septiembre","Andalucía","Cádiz","1.0","0.0","1.0"
"Año 2009","Septiembre","Andalucía","Córdoba","1.0","0.0","1.0"
"Año 2009","Septiembre","Andalucía","Granada","0.0","0.0","0.0"
"Año 2009","Septiembre","Andalucía","Huelva","0.0","0.0","0.0"
"Año 2009","Septiembre","Andalucía","Jaén","1.0","0.0","1.0"
"Año 2009","Septiembre","Andalucía","Málaga","1.0","0.0","1.0"
"Año 2009","Septiembre","Andalucía","Sevilla","0.0","0.0","0.0"
"Año 2009","Septiembre","Aragón","Huesca","0.0","0.0","0.0"
"Año 2009","Septiembre","Aragón","Teruel","0.0","0.0","0.0"
"Año 2009","Septiembre","Aragón","Zaragoza","0.0","0.0","0.0"
"Año 2009","Septiembre","Principado de Asturias","Asturias","1.0","0.0","1.0"
"Año 2009","Septiembre","Illes Balears","Illes Balears","2.0","0.0","2.0"
"Año 2009","Septiembre","Canarias","Las Palmas","0.0","0.0","0.0"
"Año 2009","Septiembre","Canarias","Santa Cruz de Tenerife","0.0","0.0","0.0"
"Año 2009","Septiembre","Cantabria","Cantabria","2.0","0.0","2.0"
"Año 2009","Septiembre","Castilla y León","Ávila","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla y León","Burgos","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla y León","León","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla y León","Palencia","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla y León","Salamanca","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla y León","Segovia","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla y León","Soria","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla y León","Valladolid","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla y León","Zamora","0.0","0.0","0.0"
