"Año","Trimestre","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2009","Primero","Andalucía","Almería","82.0"
"Año 2009","Primero","Andalucía","Cádiz","312.0"
"Año 2009","Primero","Andalucía","Córdoba","125.0"
"Año 2009","Primero","Andalucía","Granada","163.0"
"Año 2009","Primero","Andalucía","Huelva","138.0"
"Año 2009","Primero","Andalucía","Jaén","101.0"
"Año 2009","Primero","Andalucía","Málaga","379.0"
"Año 2009","Primero","Andalucía","Sevilla","509.0"
"Año 2009","Primero","Aragón","Huesca","20.0"
"Año 2009","Primero","Aragón","Teruel","19.0"
"Año 2009","Primero","Aragón","Zaragoza","140.0"
"Año 2009","Primero","Principado de Asturias","Asturias","191.0"
"Año 2009","Primero","Illes Balears","Illes Balears","399.0"
"Año 2009","Primero","Canarias","Las Palmas","417.0"
"Año 2009","Primero","Canarias","Santa Cruz de Tenerife","340.0"
"Año 2009","Primero","Cantabria","Cantabria","111.0"
"Año 2009","Primero","Castilla y León","Ávila","35.0"
"Año 2009","Primero","Castilla y León","Burgos","73.0"
"Año 2009","Primero","Castilla y León","León","109.0"
"Año 2009","Primero","Castilla y León","Palencia","31.0"
"Año 2009","Primero","Castilla y León","Salamanca","44.0"
"Año 2009","Primero","Castilla y León","Segovia","28.0"
"Año 2009","Primero","Castilla y León","Soria","17.0"
"Año 2009","Primero","Castilla y León","Valladolid","65.0"
"Año 2009","Primero","Castilla y León","Zamora","13.0"
"Año 2009","Primero","Castilla-La Mancha","Albacete","86.0"
"Año 2009","Primero","Castilla-La Mancha","Ciudad Real","105.0"
"Año 2009","Primero","Castilla-La Mancha","Cuenca","47.0"
"Año 2009","Primero","Castilla-La Mancha","Guadalajara","68.0"
"Año 2009","Primero","Castilla-La Mancha","Toledo","176.0"
"Año 2009","Primero","Cataluña","Barcelona","1147.0"
"Año 2009","Primero","Cataluña","Girona","219.0"
"Año 2009","Primero","Cataluña","Lleida","135.0"
"Año 2009","Primero","Cataluña","Tarragona","260.0"
"Año 2009","Primero","Comunitat Valenciana","Alicante/Alacant","608.0"
"Año 2009","Primero","Comunitat Valenciana","Castellón/Castelló","135.0"
"Año 2009","Primero","Comunitat Valenciana","Valencia/València","420.0"
"Año 2009","Primero","Extremadura","Badajoz","104.0"
"Año 2009","Primero","Extremadura","Cáceres","56.0"
"Año 2009","Primero","Galicia","A Coruña","99.0"
"Año 2009","Primero","Galicia","Lugo","42.0"
"Año 2009","Primero","Galicia","Ourense","63.0"
"Año 2009","Primero","Galicia","Pontevedra","129.0"
"Año 2009","Primero","Comunidad de Madrid","Madrid","1540.0"
"Año 2009","Primero","Región de Murcia","Murcia","466.0"
"Año 2009","Primero","Comunidad Foral de Navarra","Navarra","97.0"
"Año 2009","Primero","País Vasco","Araba/Álava","49.0"
