"Año","Mes","Comunidad autónoma","Provincia","Número de casos","Número de casos con protección policial"
"Año 2013","Julio","Andalucía","Almería","2449.0","529.0"
"Año 2013","Julio","Andalucía","Cádiz","3140.0","815.0"
"Año 2013","Julio","Andalucía","Córdoba","905.0","452.0"
"Año 2013","Julio","Andalucía","Granada","1449.0","536.0"
"Año 2013","Julio","Andalucía","Huelva","1153.0","304.0"
"Año 2013","Julio","Andalucía","Jaén","1533.0","551.0"
"Año 2013","Julio","Andalucía","Málaga","3069.0","873.0"
"Año 2013","Julio","Andalucía","Sevilla","3696.0","625.0"
"Año 2013","Julio","Aragón","Huesca","256.0","52.0"
"Año 2013","Julio","Aragón","Teruel","108.0","38.0"
"Año 2013","Julio","Aragón","Zaragoza","1322.0","236.0"
"Año 2013","Julio","Principado de Asturias","Asturias","1182.0","327.0"
"Año 2013","Julio","Illes Balears","Illes Balears","2633.0","511.0"
"Año 2013","Julio","Canarias","Las Palmas","1850.0","1266.0"
"Año 2013","Julio","Canarias","Santa Cruz de Tenerife","3880.0","947.0"
"Año 2013","Julio","Cantabria","Cantabria","641.0","240.0"
"Año 2013","Julio","Castilla y León","Ávila","196.0","32.0"
"Año 2013","Julio","Castilla y León","Burgos","470.0","85.0"
"Año 2013","Julio","Castilla y León","León","495.0","115.0"
"Año 2013","Julio","Castilla y León","Palencia","146.0","60.0"
"Año 2013","Julio","Castilla y León","Salamanca","295.0","39.0"
"Año 2013","Julio","Castilla y León","Segovia","205.0","61.0"
"Año 2013","Julio","Castilla y León","Soria","106.0","20.0"
"Año 2013","Julio","Castilla y León","Valladolid","548.0","108.0"
"Año 2013","Julio","Castilla y León","Zamora","150.0","17.0"
"Año 2013","Julio","Castilla-La Mancha","Albacete","857.0","98.0"
"Año 2013","Julio","Castilla-La Mancha","Ciudad Real","702.0","228.0"
"Año 2013","Julio","Castilla-La Mancha","Cuenca","265.0","16.0"
"Año 2013","Julio","Castilla-La Mancha","Guadalajara","419.0","63.0"
