"Año","Mes","Comunidad autónoma","Provincia","Altas","Bajas","Usuarias activas"
"Año 2005","Diciembre","Andalucía","Almería","4.0","0.0","4.0"
"Año 2005","Diciembre","Andalucía","Cádiz","87.0","4.0","83.0"
"Año 2005","Diciembre","Andalucía","Córdoba","29.0","1.0","28.0"
"Año 2005","Diciembre","Andalucía","Granada","95.0","1.0","94.0"
"Año 2005","Diciembre","Andalucía","Huelva","25.0","0.0","25.0"
"Año 2005","Diciembre","Andalucía","Jaén","28.0","4.0","24.0"
"Año 2005","Diciembre","Andalucía","Málaga","102.0","16.0","86.0"
"Año 2005","Diciembre","Andalucía","Sevilla","239.0","21.0","218.0"
"Año 2005","Diciembre","Aragón","Huesca","12.0","1.0","11.0"
"Año 2005","Diciembre","Aragón","Teruel","1.0","0.0","1.0"
"Año 2005","Diciembre","Aragón","Zaragoza","1.0","0.0","1.0"
"Año 2005","Diciembre","Principado de Asturias","Asturias","200.0","33.0","167.0"
"Año 2005","Diciembre","Illes Balears","Illes Balears","46.0","8.0","38.0"
"Año 2005","Diciembre","Canarias","Las Palmas","97.0","5.0","92.0"
"Año 2005","Diciembre","Canarias","Santa Cruz de Tenerife","89.0","5.0","84.0"
"Año 2005","Diciembre","Cantabria","Cantabria","59.0","10.0","49.0"
"Año 2005","Diciembre","Castilla y León","Ávila","6.0","1.0","5.0"
"Año 2005","Diciembre","Castilla y León","Burgos","18.0","6.0","12.0"
"Año 2005","Diciembre","Castilla y León","León","15.0","1.0","14.0"
"Año 2005","Diciembre","Castilla y León","Palencia","4.0","1.0","3.0"
"Año 2005","Diciembre","Castilla y León","Salamanca","2.0","0.0","2.0"
"Año 2005","Diciembre","Castilla y León","Segovia","8.0","3.0","5.0"
"Año 2005","Diciembre","Castilla y León","Soria","19.0","3.0","16.0"
"Año 2005","Diciembre","Castilla y León","Valladolid","7.0","0.0","7.0"
"Año 2005","Diciembre","Castilla y León","Zamora","4.0","0.0","4.0"
"Año 2005","Diciembre","Castilla-La Mancha","Albacete","10.0","0.0","10.0"
"Año 2005","Diciembre","Castilla-La Mancha","Ciudad Real","16.0","2.0","14.0"
"Año 2005","Diciembre","Castilla-La Mancha","Cuenca","0.0","0.0","0.0"
"Año 2005","Diciembre","Castilla-La Mancha","Guadalajara","6.0","0.0","6.0"
"Año 2005","Diciembre","Castilla-La Mancha","Toledo","19.0","0.0","19.0"
"Año 2005","Diciembre","Cataluña","Barcelona","153.0","13.0","140.0"
