Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Total Nacional;Total;2023;36.434
Total Nacional;Total;2022;33.209
Total Nacional;Total;2021;30.047
Total Nacional;Total;2020;29.135
Total Nacional;Total;2019;31.805
Total Nacional;Total;2018;31.250
Total Nacional;Total;2017;28.987
Total Nacional;Total;2016;28.201
Total Nacional;Total;2015;27.562
Total Nacional;Total;2014;26.987
Total Nacional;Total;2013;27.017
Total Nacional;Total;2012;29.048
Total Nacional;Total;2011;32.142
Total Nacional;Europa;2023;26.183
Total Nacional;Europa;2022;24.358
Total Nacional;Europa;2021;22.074
Total Nacional;Europa;2020;21.692
Total Nacional;Europa;2019;23.819
Total Nacional;Europa;2018;23.910
Total Nacional;Europa;2017;22.674
Total Nacional;Europa;2016;22.342
Total Nacional;Europa;2015;22.054
Total Nacional;Europa;2014;21.458
Total Nacional;Europa;2013;21.545
Total Nacional;Europa;2012;22.645
Total Nacional;Europa;2011;24.704
Total Nacional;España;2023;22.473
Total Nacional;España;2022;20.911
Total Nacional;España;2021;19.065
Total Nacional;España;2020;18.545
Total Nacional;España;2019;20.196
Total Nacional;España;2018;20.349
Total Nacional;España;2017;19.444
Total Nacional;España;2016;19.180
Total Nacional;España;2015;18.839
Total Nacional;España;2014;18.466
Total Nacional;España;2013;18.447
Total Nacional;España;2012;19.333
Total Nacional;España;2011;20.914
Total Nacional;UE28 sin España;2023;""
Total Nacional;UE28 sin España;2022;""
Total Nacional;UE28 sin España;2021;""
Total Nacional;UE28 sin España;2020;""
Total Nacional;UE28 sin España;2019;3.181
Total Nacional;UE28 sin España;2018;3.181
Total Nacional;UE28 sin España;2017;2.885
Total Nacional;UE28 sin España;2016;2.850
Total Nacional;UE28 sin España;2015;2.914
Total Nacional;UE28 sin España;2014;2.714
Total Nacional;UE28 sin España;2013;2.832
Total Nacional;UE28 sin España;2012;2.992
Total Nacional;UE28 sin España;2011;3.470
Total Nacional;UE27_2020 sin España;2023;2.717
Total Nacional;UE27_2020 sin España;2022;2.568
Total Nacional;UE27_2020 sin España;2021;2.346
Total Nacional;UE27_2020 sin España;2020;2.495
Total Nacional;UE27_2020 sin España;2019;""
Total Nacional;UE27_2020 sin España;2018;""
Total Nacional;UE27_2020 sin España;2017;""
Total Nacional;UE27_2020 sin España;2016;""
Total Nacional;UE27_2020 sin España;2015;""
Total Nacional;UE27_2020 sin España;2014;""
Total Nacional;UE27_2020 sin España;2013;""
Total Nacional;UE27_2020 sin España;2012;""
Total Nacional;UE27_2020 sin España;2011;""
Total Nacional;Europa menos UE28;2023;""
Total Nacional;Europa menos UE28;2022;""
Total Nacional;Europa menos UE28;2021;""
Total Nacional;Europa menos UE28;2020;""
Total Nacional;Europa menos UE28;2019;442
Total Nacional;Europa menos UE28;2018;380
Total Nacional;Europa menos UE28;2017;345
Total Nacional;Europa menos UE28;2016;312
Total Nacional;Europa menos UE28;2015;301
Total Nacional;Europa menos UE28;2014;278
Total Nacional;Europa menos UE28;2013;266
Total Nacional;Europa menos UE28;2012;320
Total Nacional;Europa menos UE28;2011;320
Total Nacional;Europa menos UE27_2020;2023;993
Total Nacional;Europa menos UE27_2020;2022;879
Total Nacional;Europa menos UE27_2020;2021;663
Total Nacional;Europa menos UE27_2020;2020;652
Total Nacional;Europa menos UE27_2020;2019;""
Total Nacional;Europa menos UE27_2020;2018;""
Total Nacional;Europa menos UE27_2020;2017;""
Total Nacional;Europa menos UE27_2020;2016;""
Total Nacional;Europa menos UE27_2020;2015;""
Total Nacional;Europa menos UE27_2020;2014;""
Total Nacional;Europa menos UE27_2020;2013;""
Total Nacional;Europa menos UE27_2020;2012;""
Total Nacional;Europa menos UE27_2020;2011;""
Total Nacional;África;2023;3.598
Total Nacional;África;2022;3.279
Total Nacional;África;2021;3.090
Total Nacional;África;2020;2.833
Total Nacional;África;2019;3.039
Total Nacional;África;2018;2.810
Total Nacional;África;2017;2.493
Total Nacional;África;2016;2.462
Total Nacional;África;2015;2.285
Total Nacional;África;2014;2.310
Total Nacional;África;2013;2.168
Total Nacional;África;2012;2.440
Total Nacional;África;2011;2.691
Total Nacional;América;2023;6.298
Total Nacional;América;2022;5.288
Total Nacional;América;2021;4.605
Total Nacional;América;2020;4.308
Total Nacional;América;2019;4.591
Total Nacional;América;2018;4.239
Total Nacional;América;2017;3.506
Total Nacional;América;2016;3.129
Total Nacional;América;2015;2.957
Total Nacional;América;2014;2.991
Total Nacional;América;2013;3.017
Total Nacional;América;2012;3.670
Total Nacional;América;2011;4.474
Total Nacional;Asia;2023;351
Total Nacional;Asia;2022;277
Total Nacional;Asia;2021;272
Total Nacional;Asia;2020;298
Total Nacional;Asia;2019;351
Total Nacional;Asia;2018;285
