Tipo de infracción;Comunidades y ciudades autónomas;Periodo;Total
Total Infracciones;Total Nacional;2023;47.086
Total Infracciones;Total Nacional;2022;40.613
Total Infracciones;Total Nacional;2021;36.362
Total Infracciones;Total Nacional;2020;34.369
Total Infracciones;Total Nacional;2019;38.367
Total Infracciones;Total Nacional;2018;37.670
Total Infracciones;Total Nacional;2017;34.645
Total Infracciones;Total Nacional;2016;33.512
Total Infracciones;Total Nacional;2015;32.128
Total Infracciones;Total Nacional;2014;31.487
Total Infracciones;Total Nacional;2013;31.375
Total Infracciones;Total Nacional;2012;33.713
Total Infracciones;Total Nacional;2011;38.219
Total Infracciones;Andalucía;2023;10.879
Total Infracciones;Andalucía;2022;9.364
Total Infracciones;Andalucía;2021;8.173
Total Infracciones;Andalucía;2020;8.172
Total Infracciones;Andalucía;2019;8.749
Total Infracciones;Andalucía;2018;8.606
Total Infracciones;Andalucía;2017;8.445
Total Infracciones;Andalucía;2016;8.336
Total Infracciones;Andalucía;2015;8.290
Total Infracciones;Andalucía;2014;8.137
Total Infracciones;Andalucía;2013;7.863
Total Infracciones;Andalucía;2012;8.357
Total Infracciones;Andalucía;2011;9.328
Total Infracciones;Aragón;2023;1.295
Total Infracciones;Aragón;2022;1.106
Total Infracciones;Aragón;2021;933
Total Infracciones;Aragón;2020;823
Total Infracciones;Aragón;2019;1.014
Total Infracciones;Aragón;2018;983
Total Infracciones;Aragón;2017;981
Total Infracciones;Aragón;2016;1.048
Total Infracciones;Aragón;2015;803
Total Infracciones;Aragón;2014;920
Total Infracciones;Aragón;2013;810
Total Infracciones;Aragón;2012;820
Total Infracciones;Aragón;2011;988
Total Infracciones;Asturias, Principado de;2023;988
Total Infracciones;Asturias, Principado de;2022;851
Total Infracciones;Asturias, Principado de;2021;664
Total Infracciones;Asturias, Principado de;2020;725
Total Infracciones;Asturias, Principado de;2019;785
Total Infracciones;Asturias, Principado de;2018;759
Total Infracciones;Asturias, Principado de;2017;752
Total Infracciones;Asturias, Principado de;2016;696
Total Infracciones;Asturias, Principado de;2015;549
Total Infracciones;Asturias, Principado de;2014;546
Total Infracciones;Asturias, Principado de;2013;520
Total Infracciones;Asturias, Principado de;2012;498
Total Infracciones;Asturias, Principado de;2011;724
Total Infracciones;Balears, Illes;2023;1.725
Total Infracciones;Balears, Illes;2022;1.432
Total Infracciones;Balears, Illes;2021;1.131
Total Infracciones;Balears, Illes;2020;1.101
Total Infracciones;Balears, Illes;2019;1.329
Total Infracciones;Balears, Illes;2018;1.141
Total Infracciones;Balears, Illes;2017;993
Total Infracciones;Balears, Illes;2016;942
Total Infracciones;Balears, Illes;2015;948
Total Infracciones;Balears, Illes;2014;834
Total Infracciones;Balears, Illes;2013;918
Total Infracciones;Balears, Illes;2012;842
Total Infracciones;Balears, Illes;2011;1.026
Total Infracciones;Canarias;2023;3.116
Total Infracciones;Canarias;2022;2.364
Total Infracciones;Canarias;2021;2.151
Total Infracciones;Canarias;2020;1.974
Total Infracciones;Canarias;2019;1.987
Total Infracciones;Canarias;2018;1.975
Total Infracciones;Canarias;2017;1.526
Total Infracciones;Canarias;2016;1.481
Total Infracciones;Canarias;2015;1.434
Total Infracciones;Canarias;2014;1.338
Total Infracciones;Canarias;2013;1.522
Total Infracciones;Canarias;2012;1.583
Total Infracciones;Canarias;2011;1.701
Total Infracciones;Cantabria;2023;1.072
Total Infracciones;Cantabria;2022;815
Total Infracciones;Cantabria;2021;659
Total Infracciones;Cantabria;2020;512
Total Infracciones;Cantabria;2019;604
Total Infracciones;Cantabria;2018;718
Total Infracciones;Cantabria;2017;580
Total Infracciones;Cantabria;2016;631
Total Infracciones;Cantabria;2015;487
Total Infracciones;Cantabria;2014;467
Total Infracciones;Cantabria;2013;440
Total Infracciones;Cantabria;2012;390
Total Infracciones;Cantabria;2011;465
Total Infracciones;Castilla y León;2023;2.548
Total Infracciones;Castilla y León;2022;2.200
Total Infracciones;Castilla y León;2021;1.937
Total Infracciones;Castilla y León;2020;1.832
Total Infracciones;Castilla y León;2019;1.859
Total Infracciones;Castilla y León;2018;1.780
Total Infracciones;Castilla y León;2017;1.749
Total Infracciones;Castilla y León;2016;1.695
Total Infracciones;Castilla y León;2015;1.735
Total Infracciones;Castilla y León;2014;1.803
Total Infracciones;Castilla y León;2013;1.691
Total Infracciones;Castilla y León;2012;1.792
Total Infracciones;Castilla y León;2011;1.983
Total Infracciones;Castilla - La Mancha;2023;2.252
Total Infracciones;Castilla - La Mancha;2022;2.199
Total Infracciones;Castilla - La Mancha;2021;2.095
Total Infracciones;Castilla - La Mancha;2020;1.749
Total Infracciones;Castilla - La Mancha;2019;2.013
Total Infracciones;Castilla - La Mancha;2018;1.954
Total Infracciones;Castilla - La Mancha;2017;1.761
Total Infracciones;Castilla - La Mancha;2016;1.859
Total Infracciones;Castilla - La Mancha;2015;1.791
Total Infracciones;Castilla - La Mancha;2014;1.765
Total Infracciones;Castilla - La Mancha;2013;1.683
Total Infracciones;Castilla - La Mancha;2012;1.817
Total Infracciones;Castilla - La Mancha;2011;2.036
Total Infracciones;Cataluña;2023;4.199
Total Infracciones;Cataluña;2022;3.782
Total Infracciones;Cataluña;2021;3.426
Total Infracciones;Cataluña;2020;3.407
Total Infracciones;Cataluña;2019;3.928
Total Infracciones;Cataluña;2018;3.889
Total Infracciones;Cataluña;2017;3.438
Total Infracciones;Cataluña;2016;3.077
Total Infracciones;Cataluña;2015;3.064
Total Infracciones;Cataluña;2014;2.750
Total Infracciones;Cataluña;2013;2.832
Total Infracciones;Cataluña;2012;3.571
Total Infracciones;Cataluña;2011;4.284
Total Infracciones;Comunitat Valenciana;2023;6.921
Total Infracciones;Comunitat Valenciana;2022;6.333
Total Infracciones;Comunitat Valenciana;2021;5.537
Total Infracciones;Comunitat Valenciana;2020;5.318
Total Infracciones;Comunitat Valenciana;2019;5.957
Total Infracciones;Comunitat Valenciana;2018;5.762
Total Infracciones;Comunitat Valenciana;2017;5.006
Total Infracciones;Comunitat Valenciana;2016;4.778
Total Infracciones;Comunitat Valenciana;2015;4.846
Total Infracciones;Comunitat Valenciana;2014;4.650
Total Infracciones;Comunitat Valenciana;2013;4.576
Total Infracciones;Comunitat Valenciana;2012;4.888
Total Infracciones;Comunitat Valenciana;2011;5.318
Total Infracciones;Extremadura;2023;1.537
Total Infracciones;Extremadura;2022;1.117
Total Infracciones;Extremadura;2021;836
Total Infracciones;Extremadura;2020;766
Total Infracciones;Extremadura;2019;883
Total Infracciones;Extremadura;2018;857
Total Infracciones;Extremadura;2017;865
Total Infracciones;Extremadura;2016;887
Total Infracciones;Extremadura;2015;823
Total Infracciones;Extremadura;2014;850
Total Infracciones;Extremadura;2013;881
Total Infracciones;Extremadura;2012;880
Total Infracciones;Extremadura;2011;938
Total Infracciones;Galicia;2023;1.950
Total Infracciones;Galicia;2022;1.684
Total Infracciones;Galicia;2021;1.457
Total Infracciones;Galicia;2020;1.338
Total Infracciones;Galicia;2019;1.598
Total Infracciones;Galicia;2018;1.572
Total Infracciones;Galicia;2017;1.467
Total Infracciones;Galicia;2016;1.441
Total Infracciones;Galicia;2015;1.327
Total Infracciones;Galicia;2014;1.347
Total Infracciones;Galicia;2013;1.439
Total Infracciones;Galicia;2012;1.457
Total Infracciones;Galicia;2011;1.599
Total Infracciones;Madrid, Comunidad de;2023;4.024
Total Infracciones;Madrid, Comunidad de;2022;3.540
Total Infracciones;Madrid, Comunidad de;2021;3.790
Total Infracciones;Madrid, Comunidad de;2020;3.494
Total Infracciones;Madrid, Comunidad de;2019;4.099
Total Infracciones;Madrid, Comunidad de;2018;4.135
Total Infracciones;Madrid, Comunidad de;2017;4.056
Total Infracciones;Madrid, Comunidad de;2016;3.619
Total Infracciones;Madrid, Comunidad de;2015;3.239
Total Infracciones;Madrid, Comunidad de;2014;3.324
Total Infracciones;Madrid, Comunidad de;2013;3.396
Total Infracciones;Madrid, Comunidad de;2012;3.855
Total Infracciones;Madrid, Comunidad de;2011;4.646
Total Infracciones;Murcia, Región de;2023;2.052
Total Infracciones;Murcia, Región de;2022;1.683
Total Infracciones;Murcia, Región de;2021;1.719
Total Infracciones;Murcia, Región de;2020;1.551
Total Infracciones;Murcia, Región de;2019;1.652
Total Infracciones;Murcia, Región de;2018;1.602
Total Infracciones;Murcia, Región de;2017;1.301
Total Infracciones;Murcia, Región de;2016;1.328
Total Infracciones;Murcia, Región de;2015;1.287
Total Infracciones;Murcia, Región de;2014;1.248
Total Infracciones;Murcia, Región de;2013;1.304
Total Infracciones;Murcia, Región de;2012;1.417
Total Infracciones;Murcia, Región de;2011;1.508
Total Infracciones;Navarra, Comunidad Foral de;2023;483
Total Infracciones;Navarra, Comunidad Foral de;2022;417
Total Infracciones;Navarra, Comunidad Foral de;2021;347
Total Infracciones;Navarra, Comunidad Foral de;2020;342
Total Infracciones;Navarra, Comunidad Foral de;2019;385
Total Infracciones;Navarra, Comunidad Foral de;2018;375
Total Infracciones;Navarra, Comunidad Foral de;2017;345
Total Infracciones;Navarra, Comunidad Foral de;2016;443
Total Infracciones;Navarra, Comunidad Foral de;2015;401
Total Infracciones;Navarra, Comunidad Foral de;2014;358
Total Infracciones;Navarra, Comunidad Foral de;2013;344
Total Infracciones;Navarra, Comunidad Foral de;2012;340
Total Infracciones;Navarra, Comunidad Foral de;2011;431
Total Infracciones;País Vasco;2023;1.005
Total Infracciones;País Vasco;2022;1.032
Total Infracciones;País Vasco;2021;901
Total Infracciones;País Vasco;2020;756
Total Infracciones;País Vasco;2019;992
Total Infracciones;País Vasco;2018;1.024
Total Infracciones;País Vasco;2017;936
Total Infracciones;País Vasco;2016;834
Total Infracciones;País Vasco;2015;705
Total Infracciones;País Vasco;2014;801
Total Infracciones;País Vasco;2013;846
Total Infracciones;País Vasco;2012;878
Total Infracciones;País Vasco;2011;909
Total Infracciones;Rioja, La;2023;635
Total Infracciones;Rioja, La;2022;465
Total Infracciones;Rioja, La;2021;451
Total Infracciones;Rioja, La;2020;349
Total Infracciones;Rioja, La;2019;384
Total Infracciones;Rioja, La;2018;396
Total Infracciones;Rioja, La;2017;270
Total Infracciones;Rioja, La;2016;252
Total Infracciones;Rioja, La;2015;225
Total Infracciones;Rioja, La;2014;227
Total Infracciones;Rioja, La;2013;190
Total Infracciones;Rioja, La;2012;221
Total Infracciones;Rioja, La;2011;214
Total Infracciones;Ceuta;2023;115
Total Infracciones;Ceuta;2022;82
Total Infracciones;Ceuta;2021;87
Total Infracciones;Ceuta;2020;68
Total Infracciones;Ceuta;2019;63
Total Infracciones;Ceuta;2018;72
Total Infracciones;Ceuta;2017;83
Total Infracciones;Ceuta;2016;97
Total Infracciones;Ceuta;2015;62
Total Infracciones;Ceuta;2014;54
Total Infracciones;Ceuta;2013;62
Total Infracciones;Ceuta;2012;45
Total Infracciones;Ceuta;2011;60
Total Infracciones;Melilla;2023;290
Total Infracciones;Melilla;2022;147
Total Infracciones;Melilla;2021;68
Total Infracciones;Melilla;2020;92
Total Infracciones;Melilla;2019;86
Total Infracciones;Melilla;2018;70
Total Infracciones;Melilla;2017;91
Total Infracciones;Melilla;2016;68
Total Infracciones;Melilla;2015;112
Total Infracciones;Melilla;2014;68
Total Infracciones;Melilla;2013;58
Total Infracciones;Melilla;2012;62
Total Infracciones;Melilla;2011;61
Delitos;Total Nacional;2023;47.086
Delitos;Total Nacional;2022;40.613
Delitos;Total Nacional;2021;36.362
Delitos;Total Nacional;2020;34.369
Delitos;Total Nacional;2019;38.351
Delitos;Total Nacional;2018;37.644
Delitos;Total Nacional;2017;34.621
Delitos;Total Nacional;2016;33.440
Delitos;Total Nacional;2015;30.990
Delitos;Total Nacional;2014;29.374
Delitos;Total Nacional;2013;28.824
Delitos;Total Nacional;2012;31.129
Delitos;Total Nacional;2011;35.061
Delitos;Andalucía;2023;10.879
Delitos;Andalucía;2022;9.364
Delitos;Andalucía;2021;8.173
Delitos;Andalucía;2020;8.172
Delitos;Andalucía;2019;8.747
Delitos;Andalucía;2018;8.600
Delitos;Andalucía;2017;8.439
Delitos;Andalucía;2016;8.320
Delitos;Andalucía;2015;7.999
Delitos;Andalucía;2014;7.583
Delitos;Andalucía;2013;7.199
Delitos;Andalucía;2012;7.707
Delitos;Andalucía;2011;8.526
Delitos;Aragón;2023;1.295
Delitos;Aragón;2022;1.106
Delitos;Aragón;2021;933
Delitos;Aragón;2020;823
Delitos;Aragón;2019;1.014
Delitos;Aragón;2018;983
Delitos;Aragón;2017;980
Delitos;Aragón;2016;1.043
Delitos;Aragón;2015;760
Delitos;Aragón;2014;816
Delitos;Aragón;2013;721
Delitos;Aragón;2012;740
Delitos;Aragón;2011;888
Delitos;Asturias, Principado de;2023;988
Delitos;Asturias, Principado de;2022;851
Delitos;Asturias, Principado de;2021;664
Delitos;Asturias, Principado de;2020;725
Delitos;Asturias, Principado de;2019;784
Delitos;Asturias, Principado de;2018;759
Delitos;Asturias, Principado de;2017;752
Delitos;Asturias, Principado de;2016;695
Delitos;Asturias, Principado de;2015;537
Delitos;Asturias, Principado de;2014;522
Delitos;Asturias, Principado de;2013;493
Delitos;Asturias, Principado de;2012;475
Delitos;Asturias, Principado de;2011;673
Delitos;Balears, Illes;2023;1.725
Delitos;Balears, Illes;2022;1.432
Delitos;Balears, Illes;2021;1.131
Delitos;Balears, Illes;2020;1.101
Delitos;Balears, Illes;2019;1.329
Delitos;Balears, Illes;2018;1.141
Delitos;Balears, Illes;2017;992
Delitos;Balears, Illes;2016;942
Delitos;Balears, Illes;2015;921
Delitos;Balears, Illes;2014;804
Delitos;Balears, Illes;2013;845
Delitos;Balears, Illes;2012;775
Delitos;Balears, Illes;2011;943
Delitos;Canarias;2023;3.116
Delitos;Canarias;2022;2.364
Delitos;Canarias;2021;2.151
Delitos;Canarias;2020;1.974
Delitos;Canarias;2019;1.986
Delitos;Canarias;2018;1.973
Delitos;Canarias;2017;1.523
Delitos;Canarias;2016;1.472
Delitos;Canarias;2015;1.315
Delitos;Canarias;2014;1.154
Delitos;Canarias;2013;1.344
Delitos;Canarias;2012;1.412
Delitos;Canarias;2011;1.497
Delitos;Cantabria;2023;1.072
Delitos;Cantabria;2022;815
Delitos;Cantabria;2021;659
Delitos;Cantabria;2020;512
Delitos;Cantabria;2019;604
Delitos;Cantabria;2018;718
Delitos;Cantabria;2017;580
Delitos;Cantabria;2016;628
Delitos;Cantabria;2015;461
Delitos;Cantabria;2014;430
Delitos;Cantabria;2013;395
Delitos;Cantabria;2012;361
Delitos;Cantabria;2011;428
Delitos;Castilla y León;2023;2.548
Delitos;Castilla y León;2022;2.200
Delitos;Castilla y León;2021;1.937
Delitos;Castilla y León;2020;1.832
Delitos;Castilla y León;2019;1.859
Delitos;Castilla y León;2018;1.780
Delitos;Castilla y León;2017;1.749
Delitos;Castilla y León;2016;1.693
Delitos;Castilla y León;2015;1.669
Delitos;Castilla y León;2014;1.665
Delitos;Castilla y León;2013;1.550
Delitos;Castilla y León;2012;1.679
Delitos;Castilla y León;2011;1.843
Delitos;Castilla - La Mancha;2023;2.252
Delitos;Castilla - La Mancha;2022;2.199
Delitos;Castilla - La Mancha;2021;2.095
Delitos;Castilla - La Mancha;2020;1.749
Delitos;Castilla - La Mancha;2019;2.013
Delitos;Castilla - La Mancha;2018;1.953
Delitos;Castilla - La Mancha;2017;1.761
Delitos;Castilla - La Mancha;2016;1.859
Delitos;Castilla - La Mancha;2015;1.741
Delitos;Castilla - La Mancha;2014;1.694
Delitos;Castilla - La Mancha;2013;1.596
Delitos;Castilla - La Mancha;2012;1.722
Delitos;Castilla - La Mancha;2011;1.890
Delitos;Cataluña;2023;4.199
Delitos;Cataluña;2022;3.782
Delitos;Cataluña;2021;3.426
Delitos;Cataluña;2020;3.407
Delitos;Cataluña;2019;3.928
Delitos;Cataluña;2018;3.883
Delitos;Cataluña;2017;3.438
Delitos;Cataluña;2016;3.066
Delitos;Cataluña;2015;2.986
Delitos;Cataluña;2014;2.591
Delitos;Cataluña;2013;2.604
Delitos;Cataluña;2012;3.317
Delitos;Cataluña;2011;3.925
Delitos;Comunitat Valenciana;2023;6.921
Delitos;Comunitat Valenciana;2022;6.333
Delitos;Comunitat Valenciana;2021;5.537
Delitos;Comunitat Valenciana;2020;5.318
Delitos;Comunitat Valenciana;2019;5.950
Delitos;Comunitat Valenciana;2018;5.756
Delitos;Comunitat Valenciana;2017;4.997
Delitos;Comunitat Valenciana;2016;4.772
Delitos;Comunitat Valenciana;2015;4.636
Delitos;Comunitat Valenciana;2014;4.270
Delitos;Comunitat Valenciana;2013;4.146
Delitos;Comunitat Valenciana;2012;4.445
Delitos;Comunitat Valenciana;2011;4.798
Delitos;Extremadura;2023;1.537
Delitos;Extremadura;2022;1.117
Delitos;Extremadura;2021;836
Delitos;Extremadura;2020;766
Delitos;Extremadura;2019;882
Delitos;Extremadura;2018;857
Delitos;Extremadura;2017;865
Delitos;Extremadura;2016;885
Delitos;Extremadura;2015;794
Delitos;Extremadura;2014;786
Delitos;Extremadura;2013;802
Delitos;Extremadura;2012;808
Delitos;Extremadura;2011;865
Delitos;Galicia;2023;1.950
Delitos;Galicia;2022;1.684
Delitos;Galicia;2021;1.457
Delitos;Galicia;2020;1.338
Delitos;Galicia;2019;1.598
Delitos;Galicia;2018;1.572
