Lugar de nacimiento;Edad de la victima;Periodo;Total
Total;Todas las edades;2023;36.582
Total;Todas las edades;2022;32.644
Total;Todas las edades;2021;30.141
Total;Todas las edades;2020;29.215
Total;Todas las edades;2019;31.911
Total;Todas las edades;2018;31.286
Total;Todas las edades;2017;29.008
Total;Todas las edades;2016;28.281
Total;Todas las edades;2015;27.624
Total;Todas las edades;2014;27.087
Total;Todas las edades;2013;27.122
Total;Todas las edades;2012;29.146
Total;Todas las edades;2011;32.242
Total;Menos de 18 años;2023;665
Total;Menos de 18 años;2022;594
Total;Menos de 18 años;2021;661
Total;Menos de 18 años;2020;514
Total;Menos de 18 años;2019;719
Total;Menos de 18 años;2018;677
Total;Menos de 18 años;2017;653
Total;Menos de 18 años;2016;569
Total;Menos de 18 años;2015;637
Total;Menos de 18 años;2014;576
Total;Menos de 18 años;2013;499
Total;Menos de 18 años;2012;545
Total;Menos de 18 años;2011;571
Total;De 18 a 19 años;2023;1.041
Total;De 18 a 19 años;2022;913
Total;De 18 a 19 años;2021;955
Total;De 18 a 19 años;2020;884
Total;De 18 a 19 años;2019;1.063
Total;De 18 a 19 años;2018;1.065
Total;De 18 a 19 años;2017;960
Total;De 18 a 19 años;2016;957
Total;De 18 a 19 años;2015;909
Total;De 18 a 19 años;2014;911
Total;De 18 a 19 años;2013;856
Total;De 18 a 19 años;2012;919
Total;De 18 a 19 años;2011;1.055
Total;De 20 a 24 años;2023;3.892
Total;De 20 a 24 años;2022;3.505
Total;De 20 a 24 años;2021;3.346
Total;De 20 a 24 años;2020;3.208
Total;De 20 a 24 años;2019;3.605
Total;De 20 a 24 años;2018;3.605
Total;De 20 a 24 años;2017;3.327
Total;De 20 a 24 años;2016;3.277
Total;De 20 a 24 años;2015;3.093
Total;De 20 a 24 años;2014;3.025
Total;De 20 a 24 años;2013;3.186
Total;De 20 a 24 años;2012;3.555
Total;De 20 a 24 años;2011;4.115
Total;De 25 a 29 años;2023;4.757
Total;De 25 a 29 años;2022;4.251
Total;De 25 a 29 años;2021;4.045
Total;De 25 a 29 años;2020;3.900
Total;De 25 a 29 años;2019;4.506
Total;De 25 a 29 años;2018;4.350
Total;De 25 a 29 años;2017;3.933
Total;De 25 a 29 años;2016;3.863
Total;De 25 a 29 años;2015;3.785
Total;De 25 a 29 años;2014;3.860
Total;De 25 a 29 años;2013;3.960
Total;De 25 a 29 años;2012;4.559
Total;De 25 a 29 años;2011;5.074
Total;De 30 a 34 años;2023;5.545
Total;De 30 a 34 años;2022;5.075
Total;De 30 a 34 años;2021;4.671
Total;De 30 a 34 años;2020;4.638
Total;De 30 a 34 años;2019;5.113
Total;De 30 a 34 años;2018;4.995
