Comunidades y ciudades autónomas;Grupo de edad ;Periodo;Total
Total Nacional;Todas las edades;2023;""
Total Nacional;Todas las edades;2022;""
Total Nacional;Todas las edades;2021;4.263
Total Nacional;Todas las edades;2020;3.489
Total Nacional;Todas las edades;2019;5.149
Total Nacional;Todas las edades;2018;5.025
Total Nacional;Todas las edades;2017;6.181
Total Nacional;Todas las edades;2016;6.288
Total Nacional;Todas las edades;2015;6.768
Total Nacional;Menos de 18 años;2023;""
Total Nacional;Menos de 18 años;2022;""
Total Nacional;Menos de 18 años;2021;1
Total Nacional;Menos de 18 años;2020;3
Total Nacional;Menos de 18 años;2019;4
Total Nacional;Menos de 18 años;2018;7
Total Nacional;Menos de 18 años;2017;8
Total Nacional;Menos de 18 años;2016;6
Total Nacional;Menos de 18 años;2015;6
Total Nacional;De 18 a 24 años;2023;""
Total Nacional;De 18 a 24 años;2022;""
Total Nacional;De 18 a 24 años;2021;348
Total Nacional;De 18 a 24 años;2020;302
Total Nacional;De 18 a 24 años;2019;445
Total Nacional;De 18 a 24 años;2018;423
Total Nacional;De 18 a 24 años;2017;556
Total Nacional;De 18 a 24 años;2016;526
Total Nacional;De 18 a 24 años;2015;581
Total Nacional;De 25 a 44 años;2023;""
Total Nacional;De 25 a 44 años;2022;""
Total Nacional;De 25 a 44 años;2021;2.526
Total Nacional;De 25 a 44 años;2020;2.096
Total Nacional;De 25 a 44 años;2019;3.174
Total Nacional;De 25 a 44 años;2018;3.077
Total Nacional;De 25 a 44 años;2017;3.885
Total Nacional;De 25 a 44 años;2016;3.949
Total Nacional;De 25 a 44 años;2015;4.262
Total Nacional;De 45 a 64 años;2023;""
Total Nacional;De 45 a 64 años;2022;""
Total Nacional;De 45 a 64 años;2021;1.233
Total Nacional;De 45 a 64 años;2020;972
Total Nacional;De 45 a 64 años;2019;1.352
Total Nacional;De 45 a 64 años;2018;1.368
Total Nacional;De 45 a 64 años;2017;1.543
Total Nacional;De 45 a 64 años;2016;1.581
Total Nacional;De 45 a 64 años;2015;1.714
Total Nacional;65 y más años;2023;""
Total Nacional;65 y más años;2022;""
Total Nacional;65 y más años;2021;155
Total Nacional;65 y más años;2020;116
Total Nacional;65 y más años;2019;174
Total Nacional;65 y más años;2018;150
Total Nacional;65 y más años;2017;189
Total Nacional;65 y más años;2016;226
Total Nacional;65 y más años;2015;205
Andalucía;Todas las edades;2023;""
Andalucía;Todas las edades;2022;""
Andalucía;Todas las edades;2021;969
Andalucía;Todas las edades;2020;777
Andalucía;Todas las edades;2019;1.237
Andalucía;Todas las edades;2018;1.197
Andalucía;Todas las edades;2017;1.676
Andalucía;Todas las edades;2016;1.603
Andalucía;Todas las edades;2015;1.567
Andalucía;Menos de 18 años;2023;""
Andalucía;Menos de 18 años;2022;""
Andalucía;Menos de 18 años;2021;0
Andalucía;Menos de 18 años;2020;0
Andalucía;Menos de 18 años;2019;1
Andalucía;Menos de 18 años;2018;3
Andalucía;Menos de 18 años;2017;2
Andalucía;Menos de 18 años;2016;3
Andalucía;Menos de 18 años;2015;1
Andalucía;De 18 a 24 años;2023;""
Andalucía;De 18 a 24 años;2022;""
Andalucía;De 18 a 24 años;2021;86
Andalucía;De 18 a 24 años;2020;57
Andalucía;De 18 a 24 años;2019;112
Andalucía;De 18 a 24 años;2018;103
Andalucía;De 18 a 24 años;2017;139
Andalucía;De 18 a 24 años;2016;153
Andalucía;De 18 a 24 años;2015;154
Andalucía;De 25 a 44 años;2023;""
Andalucía;De 25 a 44 años;2022;""
Andalucía;De 25 a 44 años;2021;576
Andalucía;De 25 a 44 años;2020;487
Andalucía;De 25 a 44 años;2019;777
Andalucía;De 25 a 44 años;2018;720
Andalucía;De 25 a 44 años;2017;1.055
Andalucía;De 25 a 44 años;2016;1.032
Andalucía;De 25 a 44 años;2015;951
Andalucía;De 45 a 64 años;2023;""
Andalucía;De 45 a 64 años;2022;""
Andalucía;De 45 a 64 años;2021;276
Andalucía;De 45 a 64 años;2020;208
Andalucía;De 45 a 64 años;2019;308
Andalucía;De 45 a 64 años;2018;339
Andalucía;De 45 a 64 años;2017;418
Andalucía;De 45 a 64 años;2016;355
Andalucía;De 45 a 64 años;2015;418
Andalucía;65 y más años;2023;""
Andalucía;65 y más años;2022;""
Andalucía;65 y más años;2021;31
Andalucía;65 y más años;2020;25
Andalucía;65 y más años;2019;39
Andalucía;65 y más años;2018;32
Andalucía;65 y más años;2017;62
Andalucía;65 y más años;2016;60
Andalucía;65 y más años;2015;43
Aragón;Todas las edades;2023;""
Aragón;Todas las edades;2022;""
Aragón;Todas las edades;2021;89
Aragón;Todas las edades;2020;60
Aragón;Todas las edades;2019;96
Aragón;Todas las edades;2018;102
Aragón;Todas las edades;2017;169
Aragón;Todas las edades;2016;142
Aragón;Todas las edades;2015;108
Aragón;Menos de 18 años;2023;""
Aragón;Menos de 18 años;2022;""
Aragón;Menos de 18 años;2021;0
Aragón;Menos de 18 años;2020;0
Aragón;Menos de 18 años;2019;0
Aragón;Menos de 18 años;2018;0
Aragón;Menos de 18 años;2017;0
Aragón;Menos de 18 años;2016;0
Aragón;Menos de 18 años;2015;0
Aragón;De 18 a 24 años;2023;""
Aragón;De 18 a 24 años;2022;""
Aragón;De 18 a 24 años;2021;2
Aragón;De 18 a 24 años;2020;6
Aragón;De 18 a 24 años;2019;6
Aragón;De 18 a 24 años;2018;2
Aragón;De 18 a 24 años;2017;22
Aragón;De 18 a 24 años;2016;8
Aragón;De 18 a 24 años;2015;10
Aragón;De 25 a 44 años;2023;""
Aragón;De 25 a 44 años;2022;""
Aragón;De 25 a 44 años;2021;58
Aragón;De 25 a 44 años;2020;39
Aragón;De 25 a 44 años;2019;54
Aragón;De 25 a 44 años;2018;69
Aragón;De 25 a 44 años;2017;94
Aragón;De 25 a 44 años;2016;86
Aragón;De 25 a 44 años;2015;65
Aragón;De 45 a 64 años;2023;""
Aragón;De 45 a 64 años;2022;""
Aragón;De 45 a 64 años;2021;21
Aragón;De 45 a 64 años;2020;14
Aragón;De 45 a 64 años;2019;34
Aragón;De 45 a 64 años;2018;30
Aragón;De 45 a 64 años;2017;48
Aragón;De 45 a 64 años;2016;43
Aragón;De 45 a 64 años;2015;29
Aragón;65 y más años;2023;""
Aragón;65 y más años;2022;""
Aragón;65 y más años;2021;8
Aragón;65 y más años;2020;1
Aragón;65 y más años;2019;2
Aragón;65 y más años;2018;1
Aragón;65 y más años;2017;5
Aragón;65 y más años;2016;5
Aragón;65 y más años;2015;4
Asturias, Principado de;Todas las edades;2023;""
Asturias, Principado de;Todas las edades;2022;""
Asturias, Principado de;Todas las edades;2021;122
Asturias, Principado de;Todas las edades;2020;105
Asturias, Principado de;Todas las edades;2019;194
Asturias, Principado de;Todas las edades;2018;175
Asturias, Principado de;Todas las edades;2017;206
Asturias, Principado de;Todas las edades;2016;191
Asturias, Principado de;Todas las edades;2015;222
Asturias, Principado de;Menos de 18 años;2023;""
Asturias, Principado de;Menos de 18 años;2022;""
Asturias, Principado de;Menos de 18 años;2021;0
Asturias, Principado de;Menos de 18 años;2020;0
Asturias, Principado de;Menos de 18 años;2019;0
Asturias, Principado de;Menos de 18 años;2018;0
Asturias, Principado de;Menos de 18 años;2017;0
Asturias, Principado de;Menos de 18 años;2016;0
Asturias, Principado de;Menos de 18 años;2015;0
Asturias, Principado de;De 18 a 24 años;2023;""
Asturias, Principado de;De 18 a 24 años;2022;""
Asturias, Principado de;De 18 a 24 años;2021;7
Asturias, Principado de;De 18 a 24 años;2020;8
Asturias, Principado de;De 18 a 24 años;2019;11
Asturias, Principado de;De 18 a 24 años;2018;15
Asturias, Principado de;De 18 a 24 años;2017;19
Asturias, Principado de;De 18 a 24 años;2016;14
Asturias, Principado de;De 18 a 24 años;2015;15
Asturias, Principado de;De 25 a 44 años;2023;""
Asturias, Principado de;De 25 a 44 años;2022;""
Asturias, Principado de;De 25 a 44 años;2021;60
Asturias, Principado de;De 25 a 44 años;2020;56
Asturias, Principado de;De 25 a 44 años;2019;114
Asturias, Principado de;De 25 a 44 años;2018;99
Asturias, Principado de;De 25 a 44 años;2017;120
Asturias, Principado de;De 25 a 44 años;2016;108
Asturias, Principado de;De 25 a 44 años;2015;114
Asturias, Principado de;De 45 a 64 años;2023;""
Asturias, Principado de;De 45 a 64 años;2022;""
Asturias, Principado de;De 45 a 64 años;2021;49
Asturias, Principado de;De 45 a 64 años;2020;36
Asturias, Principado de;De 45 a 64 años;2019;59
Asturias, Principado de;De 45 a 64 años;2018;52
Asturias, Principado de;De 45 a 64 años;2017;57
Asturias, Principado de;De 45 a 64 años;2016;57
Asturias, Principado de;De 45 a 64 años;2015;80
Asturias, Principado de;65 y más años;2023;""
Asturias, Principado de;65 y más años;2022;""
Asturias, Principado de;65 y más años;2021;6
Asturias, Principado de;65 y más años;2020;5
Asturias, Principado de;65 y más años;2019;10
Asturias, Principado de;65 y más años;2018;9
Asturias, Principado de;65 y más años;2017;10
Asturias, Principado de;65 y más años;2016;12
Asturias, Principado de;65 y más años;2015;13
Balears, Illes;Todas las edades;2023;""
Balears, Illes;Todas las edades;2022;""
Balears, Illes;Todas las edades;2021;88
Balears, Illes;Todas las edades;2020;71
Balears, Illes;Todas las edades;2019;124
Balears, Illes;Todas las edades;2018;97
Balears, Illes;Todas las edades;2017;141
Balears, Illes;Todas las edades;2016;105
Balears, Illes;Todas las edades;2015;105
Balears, Illes;Menos de 18 años;2023;""
Balears, Illes;Menos de 18 años;2022;""
Balears, Illes;Menos de 18 años;2021;0
Balears, Illes;Menos de 18 años;2020;0
Balears, Illes;Menos de 18 años;2019;0
Balears, Illes;Menos de 18 años;2018;0
Balears, Illes;Menos de 18 años;2017;1
Balears, Illes;Menos de 18 años;2016;0
Balears, Illes;Menos de 18 años;2015;0
Balears, Illes;De 18 a 24 años;2023;""
Balears, Illes;De 18 a 24 años;2022;""
Balears, Illes;De 18 a 24 años;2021;3
Balears, Illes;De 18 a 24 años;2020;8
Balears, Illes;De 18 a 24 años;2019;10
Balears, Illes;De 18 a 24 años;2018;10
