Penas y medidas;Comunidades y ciudades autónomas;Periodo;Total
Total penas y medidas;Total Nacional;2023;205.916
Total penas y medidas;Total Nacional;2022;195.855
Total penas y medidas;Total Nacional;2021;181.981
Total penas y medidas;Total Nacional;2020;134.184
Total penas y medidas;Total Nacional;2019;163.236
Total penas y medidas;Total Nacional;2018;147.918
Total penas y medidas;Total Nacional;2017;140.700
Total penas y medidas;Total Nacional;2016;133.044
Total penas y medidas;Total Nacional;2015;126.336
Total penas y medidas;Andalucía;2023;39.533
Total penas y medidas;Andalucía;2022;38.079
Total penas y medidas;Andalucía;2021;37.132
Total penas y medidas;Andalucía;2020;28.257
Total penas y medidas;Andalucía;2019;34.238
Total penas y medidas;Andalucía;2018;31.624
Total penas y medidas;Andalucía;2017;29.941
Total penas y medidas;Andalucía;2016;27.475
Total penas y medidas;Andalucía;2015;26.088
Total penas y medidas;Aragón;2023;5.880
Total penas y medidas;Aragón;2022;5.274
Total penas y medidas;Aragón;2021;4.762
Total penas y medidas;Aragón;2020;3.660
Total penas y medidas;Aragón;2019;4.030
Total penas y medidas;Aragón;2018;4.015
Total penas y medidas;Aragón;2017;3.798
Total penas y medidas;Aragón;2016;3.393
Total penas y medidas;Aragón;2015;2.605
Total penas y medidas;Asturias, Principado de;2023;3.999
Total penas y medidas;Asturias, Principado de;2022;5.139
Total penas y medidas;Asturias, Principado de;2021;4.264
Total penas y medidas;Asturias, Principado de;2020;2.844
Total penas y medidas;Asturias, Principado de;2019;3.882
Total penas y medidas;Asturias, Principado de;2018;3.573
Total penas y medidas;Asturias, Principado de;2017;3.530
Total penas y medidas;Asturias, Principado de;2016;3.305
Total penas y medidas;Asturias, Principado de;2015;2.815
Total penas y medidas;Balears, Illes;2023;6.998
Total penas y medidas;Balears, Illes;2022;6.578
Total penas y medidas;Balears, Illes;2021;6.380
Total penas y medidas;Balears, Illes;2020;4.913
Total penas y medidas;Balears, Illes;2019;6.796
Total penas y medidas;Balears, Illes;2018;5.588
Total penas y medidas;Balears, Illes;2017;5.791
Total penas y medidas;Balears, Illes;2016;5.797
Total penas y medidas;Balears, Illes;2015;4.372
Total penas y medidas;Canarias;2023;14.647
Total penas y medidas;Canarias;2022;13.072
Total penas y medidas;Canarias;2021;12.949
Total penas y medidas;Canarias;2020;10.470
Total penas y medidas;Canarias;2019;11.877
Total penas y medidas;Canarias;2018;10.805
Total penas y medidas;Canarias;2017;9.913
Total penas y medidas;Canarias;2016;9.386
Total penas y medidas;Canarias;2015;8.610
Total penas y medidas;Cantabria;2023;2.624
Total penas y medidas;Cantabria;2022;2.268
Total penas y medidas;Cantabria;2021;2.040
Total penas y medidas;Cantabria;2020;1.654
Total penas y medidas;Cantabria;2019;1.999
Total penas y medidas;Cantabria;2018;2.222
Total penas y medidas;Cantabria;2017;1.741
Total penas y medidas;Cantabria;2016;1.484
Total penas y medidas;Cantabria;2015;1.408
Total penas y medidas;Castilla y León;2023;7.549
Total penas y medidas;Castilla y León;2022;7.351
Total penas y medidas;Castilla y León;2021;6.896
Total penas y medidas;Castilla y León;2020;4.567
Total penas y medidas;Castilla y León;2019;5.862
Total penas y medidas;Castilla y León;2018;5.467
Total penas y medidas;Castilla y León;2017;5.441
Total penas y medidas;Castilla y León;2016;5.341
Total penas y medidas;Castilla y León;2015;5.351
Total penas y medidas;Castilla - La Mancha;2023;7.532
Total penas y medidas;Castilla - La Mancha;2022;7.625
Total penas y medidas;Castilla - La Mancha;2021;6.999
Total penas y medidas;Castilla - La Mancha;2020;4.923
Total penas y medidas;Castilla - La Mancha;2019;6.141
Total penas y medidas;Castilla - La Mancha;2018;5.872
Total penas y medidas;Castilla - La Mancha;2017;5.596
Total penas y medidas;Castilla - La Mancha;2016;5.489
Total penas y medidas;Castilla - La Mancha;2015;5.421
Total penas y medidas;Cataluña;2023;22.725
Total penas y medidas;Cataluña;2022;21.601
Total penas y medidas;Cataluña;2021;21.220
Total penas y medidas;Cataluña;2020;15.232
Total penas y medidas;Cataluña;2019;17.375
Total penas y medidas;Cataluña;2018;16.054
Total penas y medidas;Cataluña;2017;14.969
Total penas y medidas;Cataluña;2016;15.503
Total penas y medidas;Cataluña;2015;14.929
Total penas y medidas;Comunitat Valenciana;2023;30.388
