Año,Provincia,Edad,Hombres,Mujeres,Total
2003,Albacete,0,1861,1844,3705
2003,Albacete,1,1886,1895,3781
2003,Albacete,2,1893,1863,3757
2003,Albacete,3,1923,1784,3708
2003,Albacete,4,1948,1811,3760
2003,Albacete,5,1896,1823,3719
2003,Albacete,6,1997,1827,3824
2003,Albacete,7,2054,1887,3940
2003,Albacete,8,2015,1931,3946
2003,Albacete,9,2007,1887,3894
2003,Albacete,10,2160,2125,4285
2003,Albacete,11,2215,2094,4309
2003,Albacete,12,2394,2165,4559
2003,Albacete,13,2298,2156,4454
2003,Albacete,14,2243,2136,4379
2003,Albacete,15,2300,2240,4539
2003,Albacete,16,2316,2194,4510
2003,Albacete,17,2360,2233,4593
2003,Albacete,18,2490,2296,4786
2003,Albacete,19,2568,2306,4874
2003,Albacete,20,2767,2443,5210
2003,Albacete,21,2770,2582,5352
2003,Albacete,22,2810,2643,5453
2003,Albacete,23,3055,2775,5831
2003,Albacete,24,3229,2904,6133
2003,Albacete,25,3078,2833,5911
2003,Albacete,26,3164,3041,6205
2003,Albacete,27,3144,2925,6069
2003,Albacete,28,3170,2931,6101
2003,Albacete,29,3140,2812,5953
2003,Albacete,30,3095,2874,5968
2003,Albacete,31,3025,2788,5813
2003,Albacete,32,3079,2987,6066
2003,Albacete,33,3149,3049,6198
2003,Albacete,34,3129,2976,6104
2003,Albacete,35,3105,2932,6036
2003,Albacete,36,3022,2941,5963
2003,Albacete,37,3086,2966,6053
2003,Albacete,38,3213,3077,6290
2003,Albacete,39,3058,2968,6026
2003,Albacete,40,2931,2827,5758
2003,Albacete,41,2929,2751,5681
2003,Albacete,42,2992,2759,5752
2003,Albacete,43,2858,2627,5485
2003,Albacete,44,2625,2578,5203
2003,Albacete,45,2575,2434,5009
2003,Albacete,46,2139,2077,4217
2003,Albacete,47,2089,2079,4167
2003,Albacete,48,2066,1984,4050
2003,Albacete,49,2037,2032,4069
2003,Albacete,50,2035,1943,3978
2003,Albacete,51,1844,1776,3621
2003,Albacete,52,1847,1864,3711
2003,Albacete,53,1917,1830,3747
2003,Albacete,54,2012,2071,4082
2003,Albacete,55,1759,1769,3527
2003,Albacete,56,1588,1692,3280
2003,Albacete,57,1695,1761,3455
2003,Albacete,58,1672,1894,3566
2003,Albacete,59,1737,1722,3459
2003,Albacete,60,1574,1634,3209
2003,Albacete,61,1423,1507,2929
2003,Albacete,62,2158,2274,4432
2003,Albacete,63,1059,1155,2214
2003,Albacete,64,1520,1691,3211
2003,Albacete,65,1754,1824,3578
2003,Albacete,66,1781,2036,3816
2003,Albacete,67,1824,1941,3765
2003,Albacete,68,1693,1866,3559
2003,Albacete,69,1769,2024,3793
2003,Albacete,70,1755,1942,3697
2003,Albacete,71,1746,1961,3706
2003,Albacete,72,1794,2111,3905
2003,Albacete,73,1617,1976,3593
2003,Albacete,74,1598,1849,3447
2003,Albacete,75,1502,1723,3225
2003,Albacete,76,1434,1717,3151
2003,Albacete,77,1214,1567,2781
2003,Albacete,78,1207,1546,2753
2003,Albacete,79,1093,1423,2516
2003,Albacete,80,987,1393,2380
2003,Albacete,81,910,1229,2139
2003,Albacete,82,676,1115,1791
2003,Albacete,83,515,826,1342
2003,Albacete,84,453,865,1318
2003,Albacete,85,448,672,1120
2003,Albacete,86,362,639,1001
2003,Albacete,87,292,586,878
2003,Albacete,88,268,447,715
2003,Albacete,89,205,406,611
2003,Albacete,90,166,365,531
2003,Albacete,91,116,249,366
2003,Albacete,92,90,207,297
2003,Albacete,93,64,145,209
2003,Albacete,94,46,102,148
2003,Albacete,95,54,86,140
2003,Albacete,96,20,72,92
2003,Albacete,97,14,41,54
2003,Albacete,98,10,31,41
2003,Albacete,99,7,16,22
2003,Albacete,100,12,25,37
2003,Alicante/Alacant,0,8202,7764,15966
2003,Alicante/Alacant,1,8377,7703,16080
2003,Alicante/Alacant,2,8030,7456,15487
2003,Alicante/Alacant,3,7613,7554,15167
2003,Alicante/Alacant,4,7664,7147,14811
2003,Alicante/Alacant,5,7506,7051,14557
2003,Alicante/Alacant,6,7611,7254,14865
2003,Alicante/Alacant,7,7494,7119,14613
2003,Alicante/Alacant,8,7622,7286,14908
2003,Alicante/Alacant,9,7894,7402,15297
2003,Alicante/Alacant,10,8310,7891,16201
2003,Alicante/Alacant,11,8427,7976,16403
2003,Alicante/Alacant,12,8607,8014,16621
2003,Alicante/Alacant,13,8487,8215,16702
2003,Alicante/Alacant,14,8835,8415,17251
2003,Alicante/Alacant,15,8879,8380,17259
2003,Alicante/Alacant,16,9091,8603,17695
2003,Alicante/Alacant,17,9263,8834,18098
2003,Alicante/Alacant,18,9651,8929,18579
2003,Alicante/Alacant,19,9804,9576,19379
2003,Alicante/Alacant,20,10792,10159,20951
2003,Alicante/Alacant,21,11313,10878,22190
2003,Alicante/Alacant,22,12183,11669,23853
2003,Alicante/Alacant,23,12584,11954,24538
2003,Alicante/Alacant,24,13383,12449,25832
2003,Alicante/Alacant,25,13715,12786,26501
2003,Alicante/Alacant,26,14013,13133,27145
2003,Alicante/Alacant,27,13741,12730,26471
2003,Alicante/Alacant,28,13883,12958,26841
2003,Alicante/Alacant,29,13618,12613,26231
2003,Alicante/Alacant,30,13399,12446,25845
2003,Alicante/Alacant,31,13268,12497,25764
2003,Alicante/Alacant,32,13136,12490,25626
2003,Alicante/Alacant,33,13065,12342,25407
2003,Alicante/Alacant,34,12790,12328,25118
2003,Alicante/Alacant,35,12834,12568,25402
2003,Alicante/Alacant,36,12735,12357,25092
2003,Alicante/Alacant,37,12492,12067,24559
2003,Alicante/Alacant,38,13025,12829,25854
2003,Alicante/Alacant,39,12434,11935,24369
2003,Alicante/Alacant,40,11788,11612,23400
2003,Alicante/Alacant,41,11516,11301,22817
2003,Alicante/Alacant,42,11456,11390,22846
2003,Alicante/Alacant,43,11188,11172,22360
2003,Alicante/Alacant,44,11194,11096,22290
2003,Alicante/Alacant,45,10703,10717,21420
2003,Alicante/Alacant,46,9580,9859,19439
2003,Alicante/Alacant,47,9679,9788,19467
2003,Alicante/Alacant,48,9111,9219,18330
2003,Alicante/Alacant,49,9186,9378,18564
2003,Alicante/Alacant,50,9247,9471,18718
2003,Alicante/Alacant,51,8686,8929,17615
2003,Alicante/Alacant,52,8407,8830,17237
2003,Alicante/Alacant,53,8451,9153,17604
2003,Alicante/Alacant,54,9238,9647,18885
2003,Alicante/Alacant,55,8570,9010,17579
2003,Alicante/Alacant,56,8255,8754,17009
2003,Alicante/Alacant,57,8444,9023,17467
2003,Alicante/Alacant,58,8330,8851,17181
2003,Alicante/Alacant,59,8287,8560,16847
2003,Alicante/Alacant,60,7239,7857,15097
2003,Alicante/Alacant,61,7193,7480,14673
2003,Alicante/Alacant,62,9383,9927,19310
2003,Alicante/Alacant,63,6151,6529,12680
2003,Alicante/Alacant,64,7591,7882,15472
2003,Alicante/Alacant,65,7587,8034,15621
2003,Alicante/Alacant,66,7546,8046,15593
2003,Alicante/Alacant,67,7655,7832,15487
2003,Alicante/Alacant,68,7305,7798,15103
2003,Alicante/Alacant,69,7354,8094,15448
2003,Alicante/Alacant,70,6791,7411,14203
2003,Alicante/Alacant,71,6497,7236,13733
2003,Alicante/Alacant,72,6741,7703,14444
2003,Alicante/Alacant,73,5898,6896,12794
2003,Alicante/Alacant,74,5634,6888,12522
2003,Alicante/Alacant,75,4927,6246,11173
2003,Alicante/Alacant,76,5076,6273,11348
2003,Alicante/Alacant,77,4497,6019,10516
2003,Alicante/Alacant,78,4193,5682,9875
2003,Alicante/Alacant,79,3694,5033,8728
